"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"°C"	"°C"	""	""	""	""	""	""
"05/12/2017 20:20'00"	"42867.8472222222"	"  20.7000"	"  20.8000"	""	""	""	""	""	""	
"05/12/2017 20:30'00"	"42867.8541666667"	"  20.6000"	"  20.7000"	""	""	""	""	""	""	
"05/12/2017 20:40'00"	"42867.8611111111"	"  20.6000"	"  20.8000"	""	""	""	""	""	""	
"05/12/2017 20:50'00"	"42867.8680555556"	"  20.6000"	"  20.8000"	""	""	""	""	""	""	
"05/12/2017 21:00'00"	"42867.8750000000"	"  20.2000"	"  20.4000"	""	""	""	""	""	""	
"05/12/2017 21:10'00"	"42867.8819444444"	"  20.2000"	"  20.3000"	""	""	""	""	""	""	
"05/12/2017 21:20'00"	"42867.8888888889"	"  20.1000"	"  20.1000"	""	""	""	""	""	""	
"05/12/2017 21:30'00"	"42867.8958333333"	"  20.1000"	"  20.1000"	""	""	""	""	""	""	
"05/12/2017 21:40'00"	"42867.9027777778"	"  20.1000"	"  20.2000"	""	""	""	""	""	""	
"05/12/2017 21:50'00"	"42867.9097222222"	"  20.3000"	"  20.4000"	""	""	""	""	""	""	
"05/12/2017 22:00'00"	"42867.9166666667"	"  20.0000"	"  20.1000"	""	""	""	""	""	""	
"05/12/2017 22:10'00"	"42867.9236111111"	"  19.7000"	"  19.8000"	""	""	""	""	""	""	
"05/12/2017 22:20'00"	"42867.9305555556"	"  19.5000"	"  19.7000"	""	""	""	""	""	""	
"05/12/2017 22:30'00"	"42867.9375000000"	"  19.7000"	"  19.8000"	""	""	""	""	""	""	
"05/12/2017 22:40'00"	"42867.9444444444"	"  19.8000"	"  19.9000"	""	""	""	""	""	""	
"05/12/2017 22:50'00"	"42867.9513888889"	"  19.9000"	"  20.0000"	""	""	""	""	""	""	
"05/12/2017 23:00'00"	"42867.9583333333"	"  19.8000"	"  19.8000"	""	""	""	""	""	""	
"05/12/2017 23:10'00"	"42867.9652777778"	"  19.8000"	"  19.9000"	""	""	""	""	""	""	
"05/12/2017 23:20'00"	"42867.9722222222"	"  19.7000"	"  19.8000"	""	""	""	""	""	""	
"05/12/2017 23:30'00"	"42867.9791666667"	"  19.7000"	"  19.8000"	""	""	""	""	""	""	
"05/12/2017 23:40'00"	"42867.9861111111"	"  19.8000"	"  19.9000"	""	""	""	""	""	""	
"05/12/2017 23:50'00"	"42867.9930555556"	"  19.8000"	"  19.9000"	""	""	""	""	""	""	
"05/13/2017 00:00'00"	"42868.0000000000"	"  19.8000"	"  19.9000"	""	""	""	""	""	""	
"05/13/2017 00:10'00"	"42868.0069444444"	"  19.7000"	"  19.8000"	""	""	""	""	""	""	
"05/13/2017 00:20'00"	"42868.0138888889"	"  19.6000"	"  19.6000"	""	""	""	""	""	""	
"05/13/2017 00:30'00"	"42868.0208333333"	"  19.4000"	"  19.6000"	""	""	""	""	""	""	
"05/13/2017 00:40'00"	"42868.0277777778"	"  19.6000"	"  19.7000"	""	""	""	""	""	""	
"05/13/2017 00:50'00"	"42868.0347222222"	"  19.2000"	"  19.3000"	""	""	""	""	""	""	
"05/13/2017 01:00'00"	"42868.0416666667"	"  19.2000"	"  19.3000"	""	""	""	""	""	""	
"05/13/2017 01:10'00"	"42868.0486111111"	"  19.1000"	"  19.2000"	""	""	""	""	""	""	
"05/13/2017 01:20'00"	"42868.0555555556"	"  19.0000"	"  19.1000"	""	""	""	""	""	""	
"05/13/2017 01:30'00"	"42868.0625000000"	"  19.0000"	"  19.1000"	""	""	""	""	""	""	
"05/13/2017 01:40'00"	"42868.0694444444"	"  18.9000"	"  19.0000"	""	""	""	""	""	""	
"05/13/2017 01:50'00"	"42868.0763888889"	"  18.8000"	"  18.9000"	""	""	""	""	""	""	
"05/13/2017 02:00'00"	"42868.0833333333"	"  18.7000"	"  18.7000"	""	""	""	""	""	""	
"05/13/2017 02:10'00"	"42868.0902777778"	"  18.5000"	"  18.6000"	""	""	""	""	""	""	
"05/13/2017 02:20'00"	"42868.0972222222"	"  18.4000"	"  18.5000"	""	""	""	""	""	""	
"05/13/2017 02:30'00"	"42868.1041666667"	"  18.3000"	"  18.3000"	""	""	""	""	""	""	
"05/13/2017 02:40'00"	"42868.1111111111"	"  18.1000"	"  18.2000"	""	""	""	""	""	""	
"05/13/2017 02:50'00"	"42868.1180555556"	"  18.0000"	"  18.1000"	""	""	""	""	""	""	
"05/13/2017 03:00'00"	"42868.1250000000"	"  18.1000"	"  18.1000"	""	""	""	""	""	""	
"05/13/2017 03:10'00"	"42868.1319444444"	"  18.1000"	"  18.2000"	""	""	""	""	""	""	
"05/13/2017 03:20'00"	"42868.1388888889"	"  18.1000"	"  18.2000"	""	""	""	""	""	""	
"05/13/2017 03:30'00"	"42868.1458333333"	"  18.3000"	"  18.4000"	""	""	""	""	""	""	
"05/13/2017 03:40'00"	"42868.1527777778"	"  18.3000"	"  18.4000"	""	""	""	""	""	""	
"05/13/2017 03:50'00"	"42868.1597222222"	"  18.0000"	"  18.1000"	""	""	""	""	""	""	
"05/13/2017 04:00'00"	"42868.1666666667"	"  17.9000"	"  18.0000"	""	""	""	""	""	""	
"05/13/2017 04:10'00"	"42868.1736111111"	"  17.9000"	"  18.0000"	""	""	""	""	""	""	
"05/13/2017 04:20'00"	"42868.1805555556"	"  17.7000"	"  17.8000"	""	""	""	""	""	""	
"05/13/2017 04:30'00"	"42868.1875000000"	"  17.6000"	"  17.8000"	""	""	""	""	""	""	
"05/13/2017 04:40'00"	"42868.1944444444"	"  17.5000"	"  17.7000"	""	""	""	""	""	""	
"05/13/2017 04:50'00"	"42868.2013888889"	"  17.6000"	"  17.8000"	""	""	""	""	""	""	
"05/13/2017 05:00'00"	"42868.2083333333"	"  17.5000"	"  17.7000"	""	""	""	""	""	""	
"05/13/2017 05:10'00"	"42868.2152777778"	"  17.5000"	"  17.6000"	""	""	""	""	""	""	
"05/13/2017 05:20'00"	"42868.2222222222"	"  17.4000"	"  17.5000"	""	""	""	""	""	""	
"05/13/2017 05:30'00"	"42868.2291666667"	"  17.4000"	"  17.5000"	""	""	""	""	""	""	
"05/13/2017 05:40'00"	"42868.2361111111"	"  17.4000"	"  17.5000"	""	""	""	""	""	""	
"05/13/2017 05:50'00"	"42868.2430555556"	"  17.4000"	"  17.5000"	""	""	""	""	""	""	
"05/13/2017 06:00'00"	"42868.2500000000"	"  17.5000"	"  17.5000"	""	""	""	""	""	""	
"05/13/2017 06:10'00"	"42868.2569444444"	"  17.4000"	"  17.4000"	""	""	""	""	""	""	
"05/13/2017 06:20'00"	"42868.2638888889"	"  17.3000"	"  17.4000"	""	""	""	""	""	""	
"05/13/2017 06:30'00"	"42868.2708333333"	"  17.5000"	"  17.6000"	""	""	""	""	""	""	
"05/13/2017 06:40'00"	"42868.2777777778"	"  17.4000"	"  17.5000"	""	""	""	""	""	""	
"05/13/2017 06:50'00"	"42868.2847222222"	"  17.3000"	"  17.4000"	""	""	""	""	""	""	
"05/13/2017 07:00'00"	"42868.2916666667"	"  17.1000"	"  17.1000"	""	""	""	""	""	""	
