< Measurement Data Text Output >									
									
Date/Time	@date()	T60		ch.3	ch.4	ch.5	ch.6	ch.7	ch.8
		°C	°C						
06/26/2019 18:40'00	43642.77778	25.7	26.6						
06/26/2019 19:00'00	43642.79167	25.1	26.5						
06/26/2019 19:20'00	43642.80556	24.8	26.3						
06/26/2019 19:40'00	43642.81944	24.7	26.2						
06/26/2019 20:00'00	43642.83333	24.6	26.1						
06/26/2019 20:20'00	43642.84722	24.6	26						
06/26/2019 20:40'00	43642.86111	24.6	25.9						
06/26/2019 21:00'00	43642.875	24.5	25.8						
06/26/2019 21:20'00	43642.88889	24.5	25.8						
06/26/2019 21:40'00	43642.90278	24.4	25.8						
06/26/2019 22:00'00	43642.91667	24	25.8						
06/26/2019 22:20'00	43642.93056	23.4	25.7						
06/26/2019 22:40'00	43642.94444	23.3	25.6						
06/26/2019 23:00'00	43642.95833	23.4	25.5						
06/26/2019 23:20'00	43642.97222	23.6	25.4						
06/26/2019 23:40'00	43642.98611	23.5	25.4						
06/27/2019 00:00'00	43643	23.5	25.4						
06/27/2019 00:20'00	43643.01389	23.6	25.3						
06/27/2019 00:40'00	43643.02778	23.5	25.2						
06/27/2019 01:00'00	43643.04167	23.4	25.2						
06/27/2019 01:20'00	43643.05556	23.6	25.2						
06/27/2019 01:40'00	43643.06944	23.6	25.1						
06/27/2019 02:00'00	43643.08333	23.7	25.1						
06/27/2019 02:20'00	43643.09722	23.7	25.1						
06/27/2019 02:40'00	43643.11111	23.6	25.2						
06/27/2019 03:00'00	43643.125	23.1	25.1						
06/27/2019 03:20'00	43643.13889	22.6	25						
06/27/2019 03:40'00	43643.15278	22.4	24.9						
06/27/2019 04:00'00	43643.16667	22.3	24.8						
06/27/2019 04:20'00	43643.18056	22.3	24.7						
06/27/2019 04:40'00	43643.19444	22.3	24.6						
06/27/2019 05:00'00	43643.20833	22.4	24.5						
06/27/2019 05:20'00	43643.22222	22.8	24.5						
06/27/2019 05:40'00	43643.23611	23	24.5						
06/27/2019 06:00'00	43643.25	23.3	24.5						
06/27/2019 06:20'00	43643.26389	23.5	24.5						
06/27/2019 06:40'00	43643.27778	25.4	24.5						
06/27/2019 07:00'00	43643.29167	27	24.6						
06/27/2019 07:20'00	43643.30556	26	24.8						
06/27/2019 07:40'00	43643.31944	25.5	24.9						
06/27/2019 08:00'00	43643.33333	25.7	25						
06/27/2019 08:20'00	43643.34722	25.9	25						
06/27/2019 08:40'00	43643.36111	26.5	25.1						
06/27/2019 09:00'00	43643.375	27.1	25.2						
06/27/2019 09:20'00	43643.38889	27.4	25.4						
06/27/2019 09:40'00	43643.40278	26.8	25.5						
06/27/2019 10:00'00	43643.41667	27.3	25.6						
06/27/2019 10:20'00	43643.43056	27.3	25.7						
06/27/2019 10:40'00	43643.44444	28.1	25.8						
06/27/2019 11:00'00	43643.45833	27.1	26						
06/27/2019 11:20'00	43643.47222	26.6	26						
06/27/2019 11:40'00	43643.48611	26.4	26.1						
06/27/2019 12:00'00	43643.5	26.8	26.1						
06/27/2019 12:20'00	43643.51389	26.3	26.2						
06/27/2019 12:40'00	43643.52778	27	26.2						
06/27/2019 13:00'00	43643.54167	27.7	26.2						
06/27/2019 13:20'00	43643.55556	26.8	26.4						
06/27/2019 13:40'00	43643.56944	26.2	26.4						
06/27/2019 14:00'00	43643.58333	26.3	26.4						
06/27/2019 14:20'00	43643.59722	25.5	26.4						
06/27/2019 14:40'00	43643.61111	25.6	26.3						
06/27/2019 15:00'00	43643.625	25.7	26.3						
06/27/2019 15:20'00	43643.63889	25.9	26.3						
06/27/2019 15:40'00	43643.65278	25.4	26.2						
06/27/2019 16:00'00	43643.66667	25.5	26.2						
06/27/2019 16:20'00	43643.68056	25.3	26.2						
06/27/2019 16:40'00	43643.69444	25.3	26.1						
06/27/2019 17:00'00	43643.70833	25.3	26.1						
06/27/2019 17:20'00	43643.72222	25.1	26.1						
06/27/2019 17:40'00	43643.73611	25.1	26.1						
06/27/2019 18:00'00	43643.75	25	26						
06/27/2019 18:20'00	43643.76389	24.9	26						
06/27/2019 18:40'00	43643.77778	24.9	26						
06/27/2019 19:00'00	43643.79167	24.8	25.9						
06/27/2019 19:20'00	43643.80556	24.8	25.9						
06/27/2019 19:40'00	43643.81944	24.8	25.8						
06/27/2019 20:00'00	43643.83333	24.8	25.7						
06/27/2019 20:20'00	43643.84722	24.8	25.7						
06/27/2019 20:40'00	43643.86111	24.8	25.7						
06/27/2019 21:00'00	43643.875	24.8	25.7						
06/27/2019 21:20'00	43643.88889	24.9	25.7						
06/27/2019 21:40'00	43643.90278	25	25.7						
