"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"°C"	"%RH"	""	""	""	""	""	""
"08/01/2017 03:00'00"	"42948.1250000000"	"  25.5000"	"  98.0000"	""	""	""	""	""	""	
"08/01/2017 03:10'00"	"42948.1319444444"	"  25.5000"	"  97.0000"	""	""	""	""	""	""	
"08/01/2017 03:20'00"	"42948.1388888889"	"  25.4000"	"  97.0000"	""	""	""	""	""	""	
"08/01/2017 03:30'00"	"42948.1458333333"	"  25.3000"	"  96.0000"	""	""	""	""	""	""	
"08/01/2017 03:40'00"	"42948.1527777778"	"  25.4000"	"  98.0000"	""	""	""	""	""	""	
"08/01/2017 03:50'00"	"42948.1597222222"	"  25.2000"	"  98.0000"	""	""	""	""	""	""	
"08/01/2017 04:00'00"	"42948.1666666667"	"  25.4000"	"  98.0000"	""	""	""	""	""	""	
"08/01/2017 04:10'00"	"42948.1736111111"	"  25.2000"	"  98.0000"	""	""	""	""	""	""	
"08/01/2017 04:20'00"	"42948.1805555556"	"  25.2000"	"  98.0000"	""	""	""	""	""	""	
"08/01/2017 04:30'00"	"42948.1875000000"	"  25.1000"	"  98.0000"	""	""	""	""	""	""	
"08/01/2017 04:40'00"	"42948.1944444444"	"  25.3000"	"  99.0000"	""	""	""	""	""	""	
"08/01/2017 04:50'00"	"42948.2013888889"	"  25.3000"	"  99.0000"	""	""	""	""	""	""	
"08/01/2017 05:00'00"	"42948.2083333333"	"  25.3000"	"  99.0000"	""	""	""	""	""	""	
"08/01/2017 05:10'00"	"42948.2152777778"	"  25.4000"	"  99.0000"	""	""	""	""	""	""	
"08/01/2017 05:20'00"	"42948.2222222222"	"  25.2000"	"  99.0000"	""	""	""	""	""	""	
"08/01/2017 05:30'00"	"42948.2291666667"	"  25.5000"	"  99.0000"	""	""	""	""	""	""	
"08/01/2017 05:40'00"	"42948.2361111111"	"  25.5000"	"  99.0000"	""	""	""	""	""	""	
"08/01/2017 05:50'00"	"42948.2430555556"	"  25.4000"	"  99.0000"	""	""	""	""	""	""	
"08/01/2017 06:00'00"	"42948.2500000000"	"  25.7000"	"  98.0000"	""	""	""	""	""	""	
"08/01/2017 06:10'00"	"42948.2569444444"	"  25.8000"	"  98.0000"	""	""	""	""	""	""	
"08/01/2017 06:20'00"	"42948.2638888889"	"  26.0000"	"  98.0000"	""	""	""	""	""	""	
"08/01/2017 06:30'00"	"42948.2708333333"	"  26.2000"	"  98.0000"	""	""	""	""	""	""	
"08/01/2017 06:40'00"	"42948.2777777778"	"  26.3000"	"  97.0000"	""	""	""	""	""	""	
"08/01/2017 06:50'00"	"42948.2847222222"	"  26.6000"	"  96.0000"	""	""	""	""	""	""	
"08/01/2017 07:00'00"	"42948.2916666667"	"  26.8000"	"  95.0000"	""	""	""	""	""	""	
"08/01/2017 07:10'00"	"42948.2986111111"	"  27.1000"	"  93.0000"	""	""	""	""	""	""	
"08/01/2017 07:20'00"	"42948.3055555556"	"  27.3000"	"  91.0000"	""	""	""	""	""	""	
"08/01/2017 07:30'00"	"42948.3125000000"	"  27.6000"	"  90.0000"	""	""	""	""	""	""	
"08/01/2017 07:40'00"	"42948.3194444444"	"  27.8000"	"  87.0000"	""	""	""	""	""	""	
"08/01/2017 07:50'00"	"42948.3263888889"	"  28.4000"	"  86.0000"	""	""	""	""	""	""	
"08/01/2017 08:00'00"	"42948.3333333333"	"  29.2000"	"  85.0000"	""	""	""	""	""	""	
"08/01/2017 08:10'00"	"42948.3402777778"	"  29.6000"	"  81.0000"	""	""	""	""	""	""	
"08/01/2017 08:20'00"	"42948.3472222222"	"  29.2000"	"  80.0000"	""	""	""	""	""	""	
"08/01/2017 08:30'00"	"42948.3541666667"	"  29.2000"	"  81.0000"	""	""	""	""	""	""	
"08/01/2017 08:40'00"	"42948.3611111111"	"  29.8000"	"  82.0000"	""	""	""	""	""	""	
"08/01/2017 08:50'00"	"42948.3680555556"	"  30.4000"	"  76.0000"	""	""	""	""	""	""	
"08/01/2017 09:00'00"	"42948.3750000000"	"  31.4000"	"  75.0000"	""	""	""	""	""	""	
"08/01/2017 09:10'00"	"42948.3819444444"	"  31.7000"	"  75.0000"	""	""	""	""	""	""	
"08/01/2017 09:20'00"	"42948.3888888889"	"  32.0000"	"  73.0000"	""	""	""	""	""	""	
"08/01/2017 09:30'00"	"42948.3958333333"	"  32.3000"	"  75.0000"	""	""	""	""	""	""	
"08/01/2017 09:40'00"	"42948.4027777778"	"  32.8000"	"  71.0000"	""	""	""	""	""	""	
"08/01/2017 09:50'00"	"42948.4097222222"	"  32.2000"	"  73.0000"	""	""	""	""	""	""	
"08/01/2017 10:00'00"	"42948.4166666667"	"  33.2000"	"  77.0000"	""	""	""	""	""	""	
"08/01/2017 10:10'00"	"42948.4236111111"	"  33.6000"	"  70.0000"	""	""	""	""	""	""	
"08/01/2017 10:20'00"	"42948.4305555556"	"  34.0000"	"  71.0000"	""	""	""	""	""	""	
"08/01/2017 10:30'00"	"42948.4375000000"	"  32.6000"	"  75.0000"	""	""	""	""	""	""	
"08/01/2017 10:40'00"	"42948.4444444444"	"  32.7000"	"  74.0000"	""	""	""	""	""	""	
"08/01/2017 10:50'00"	"42948.4513888889"	"  33.3000"	"  72.0000"	""	""	""	""	""	""	
"08/01/2017 11:00'00"	"42948.4583333333"	"  32.9000"	"  76.0000"	""	""	""	""	""	""	
"08/01/2017 11:10'00"	"42948.4652777778"	"  32.8000"	"  75.0000"	""	""	""	""	""	""	
"08/01/2017 11:20'00"	"42948.4722222222"	"  33.4000"	"  72.0000"	""	""	""	""	""	""	
"08/01/2017 11:30'00"	"42948.4791666667"	"  34.4000"	"  73.0000"	""	""	""	""	""	""	
"08/01/2017 11:40'00"	"42948.4861111111"	"  34.5000"	"  67.0000"	""	""	""	""	""	""	
"08/01/2017 11:50'00"	"42948.4930555556"	"  34.6000"	"  71.0000"	""	""	""	""	""	""	
"08/01/2017 12:00'00"	"42948.5000000000"	"  34.8000"	"  66.0000"	""	""	""	""	""	""	
"08/01/2017 12:10'00"	"42948.5069444444"	"  35.2000"	"  68.0000"	""	""	""	""	""	""	
"08/01/2017 12:20'00"	"42948.5138888889"	"  34.4000"	"  67.0000"	""	""	""	""	""	""	
"08/01/2017 12:30'00"	"42948.5208333333"	"  35.3000"	"  71.0000"	""	""	""	""	""	""	
"08/01/2017 12:40'00"	"42948.5277777778"	"  35.3000"	"  65.0000"	""	""	""	""	""	""	
"08/01/2017 12:50'00"	"42948.5347222222"	"  35.4000"	"  66.0000"	""	""	""	""	""	""	
"08/01/2017 13:00'00"	"42948.5416666667"	"  35.6000"	"  66.0000"	""	""	""	""	""	""	
"08/01/2017 13:10'00"	"42948.5486111111"	"  35.6000"	"  63.0000"	""	""	""	""	""	""	
"08/01/2017 13:20'00"	"42948.5555555556"	"  35.0000"	"  65.0000"	""	""	""	""	""	""	
"08/01/2017 13:30'00"	"42948.5625000000"	"  35.1000"	"  65.0000"	""	""	""	""	""	""	
"08/01/2017 13:40'00"	"42948.5694444444"	"  35.0000"	"  64.0000"	""	""	""	""	""	""	
"08/01/2017 13:50'00"	"42948.5763888889"	"  34.8000"	"  65.0000"	""	""	""	""	""	""	
"08/01/2017 14:00'00"	"42948.5833333333"	"  35.0000"	"  66.0000"	""	""	""	""	""	""	
"08/01/2017 14:10'00"	"42948.5902777778"	"  34.6000"	"  63.0000"	""	""	""	""	""	""	
"08/01/2017 14:20'00"	"42948.5972222222"	"  34.7000"	"  66.0000"	""	""	""	""	""	""	
"08/01/2017 14:30'00"	"42948.6041666667"	"  34.7000"	"  68.0000"	""	""	""	""	""	""	
"08/01/2017 14:40'00"	"42948.6111111111"	"  33.9000"	"  68.0000"	""	""	""	""	""	""	
"08/01/2017 14:50'00"	"42948.6180555556"	"  33.2000"	"  72.0000"	""	""	""	""	""	""	
"08/01/2017 15:00'00"	"42948.6250000000"	"  32.6000"	"  73.0000"	""	""	""	""	""	""	
"08/01/2017 15:10'00"	"42948.6319444444"	"  32.3000"	"  73.0000"	""	""	""	""	""	""	
"08/01/2017 15:20'00"	"42948.6388888889"	"  32.5000"	"  76.0000"	""	""	""	""	""	""	
"08/01/2017 15:30'00"	"42948.6458333333"	"  33.0000"	"  72.0000"	""	""	""	""	""	""	
"08/01/2017 15:40'00"	"42948.6527777778"	"  33.1000"	"  71.0000"	""	""	""	""	""	""	
"08/01/2017 15:50'00"	"42948.6597222222"	"  32.7000"	"  68.0000"	""	""	""	""	""	""	
"08/01/2017 16:00'00"	"42948.6666666667"	"  32.0000"	"  72.0000"	""	""	""	""	""	""	
"08/01/2017 16:10'00"	"42948.6736111111"	"  31.9000"	"  73.0000"	""	""	""	""	""	""	
"08/01/2017 16:20'00"	"42948.6805555556"	"  31.8000"	"  73.0000"	""	""	""	""	""	""	
"08/01/2017 16:30'00"	"42948.6875000000"	"  31.6000"	"  75.0000"	""	""	""	""	""	""	
"08/01/2017 16:40'00"	"42948.6944444444"	"  32.2000"	"  74.0000"	""	""	""	""	""	""	
"08/01/2017 16:50'00"	"42948.7013888889"	"  31.8000"	"  73.0000"	""	""	""	""	""	""	
"08/01/2017 17:00'00"	"42948.7083333333"	"  31.6000"	"  73.0000"	""	""	""	""	""	""	
"08/01/2017 17:10'00"	"42948.7152777778"	"  31.6000"	"  73.0000"	""	""	""	""	""	""	
"08/01/2017 17:20'00"	"42948.7222222222"	"  31.5000"	"  65.0000"	""	""	""	""	""	""	
"08/01/2017 17:30'00"	"42948.7291666667"	"  31.4000"	"  61.0000"	""	""	""	""	""	""	
"08/01/2017 17:40'00"	"42948.7361111111"	"  31.4000"	"  61.0000"	""	""	""	""	""	""	
"08/01/2017 17:50'00"	"42948.7430555556"	"  31.3000"	"  62.0000"	""	""	""	""	""	""	
"08/01/2017 18:00'00"	"42948.7500000000"	"  31.1000"	"  61.0000"	""	""	""	""	""	""	
"08/01/2017 18:10'00"	"42948.7569444444"	"  30.7000"	"  62.0000"	""	""	""	""	""	""	
"08/01/2017 18:20'00"	"42948.7638888889"	"  30.4000"	"  62.0000"	""	""	""	""	""	""	
"08/01/2017 18:30'00"	"42948.7708333333"	"  30.3000"	"  61.0000"	""	""	""	""	""	""	
"08/01/2017 18:40'00"	"42948.7777777778"	"  30.0000"	"  63.0000"	""	""	""	""	""	""	
"08/01/2017 18:50'00"	"42948.7847222222"	"  29.8000"	"  63.0000"	""	""	""	""	""	""	
"08/01/2017 19:00'00"	"42948.7916666667"	"  29.3000"	"  67.0000"	""	""	""	""	""	""	
"08/01/2017 19:10'00"	"42948.7986111111"	"  29.1000"	"  68.0000"	""	""	""	""	""	""	
"08/01/2017 19:20'00"	"42948.8055555556"	"  28.8000"	"  70.0000"	""	""	""	""	""	""	
"08/01/2017 19:30'00"	"42948.8125000000"	"  28.7000"	"  69.0000"	""	""	""	""	""	""	
"08/01/2017 19:40'00"	"42948.8194444444"	"  28.7000"	"  70.0000"	""	""	""	""	""	""	
"08/01/2017 19:50'00"	"42948.8263888889"	"  28.6000"	"  72.0000"	""	""	""	""	""	""	
"08/01/2017 20:00'00"	"42948.8333333333"	"  28.4000"	"  74.0000"	""	""	""	""	""	""	
"08/01/2017 20:10'00"	"42948.8402777778"	"  28.0000"	"  75.0000"	""	""	""	""	""	""	
"08/01/2017 20:20'00"	"42948.8472222222"	"  27.8000"	"  78.0000"	""	""	""	""	""	""	
"08/01/2017 20:30'00"	"42948.8541666667"	"  27.4000"	"  80.0000"	""	""	""	""	""	""	
"08/01/2017 20:40'00"	"42948.8611111111"	"  27.3000"	"  83.0000"	""	""	""	""	""	""	
"08/01/2017 20:50'00"	"42948.8680555556"	"  27.0000"	"  83.0000"	""	""	""	""	""	""	
"08/01/2017 21:00'00"	"42948.8750000000"	"  27.0000"	"  86.0000"	""	""	""	""	""	""	
"08/01/2017 21:10'00"	"42948.8819444444"	"  27.3000"	"  85.0000"	""	""	""	""	""	""	
"08/01/2017 21:20'00"	"42948.8888888889"	"  27.8000"	"  81.0000"	""	""	""	""	""	""	
"08/01/2017 21:30'00"	"42948.8958333333"	"  28.0000"	"  78.0000"	""	""	""	""	""	""	
"08/01/2017 21:40'00"	"42948.9027777778"	"  27.9000"	"  79.0000"	""	""	""	""	""	""	
"08/01/2017 21:50'00"	"42948.9097222222"	"  28.0000"	"  78.0000"	""	""	""	""	""	""	
"08/01/2017 22:00'00"	"42948.9166666667"	"  28.0000"	"  75.0000"	""	""	""	""	""	""	
"08/01/2017 22:10'00"	"42948.9236111111"	"  27.9000"	"  76.0000"	""	""	""	""	""	""	
"08/01/2017 22:20'00"	"42948.9305555556"	"  27.9000"	"  74.0000"	""	""	""	""	""	""	
"08/01/2017 22:30'00"	"42948.9375000000"	"  27.6000"	"  75.0000"	""	""	""	""	""	""	
"08/01/2017 22:40'00"	"42948.9444444444"	"  27.2000"	"  83.0000"	""	""	""	""	""	""	
"08/01/2017 22:50'00"	"42948.9513888889"	"  26.4000"	"  87.0000"	""	""	""	""	""	""	
"08/01/2017 23:00'00"	"42948.9583333333"	"  25.9000"	"  90.0000"	""	""	""	""	""	""	
"08/01/2017 23:10'00"	"42948.9652777778"	"  25.9000"	"  91.0000"	""	""	""	""	""	""	
"08/01/2017 23:20'00"	"42948.9722222222"	"  26.0000"	"  92.0000"	""	""	""	""	""	""	
"08/01/2017 23:30'00"	"42948.9791666667"	"  26.1000"	"  94.0000"	""	""	""	""	""	""	
"08/01/2017 23:40'00"	"42948.9861111111"	"  26.2000"	"  94.0000"	""	""	""	""	""	""	
"08/01/2017 23:50'00"	"42948.9930555556"	"  26.2000"	"  94.0000"	""	""	""	""	""	""	
"08/02/2017 00:00'00"	"42949.0000000000"	"  26.1000"	"  93.0000"	""	""	""	""	""	""	
"08/02/2017 00:10'00"	"42949.0069444444"	"  26.0000"	"  92.0000"	""	""	""	""	""	""	
"08/02/2017 00:20'00"	"42949.0138888889"	"  26.0000"	"  92.0000"	""	""	""	""	""	""	
"08/02/2017 00:30'00"	"42949.0208333333"	"  26.1000"	"  93.0000"	""	""	""	""	""	""	
"08/02/2017 00:40'00"	"42949.0277777778"	"  26.1000"	"  95.0000"	""	""	""	""	""	""	
"08/02/2017 00:50'00"	"42949.0347222222"	"  26.1000"	"  95.0000"	""	""	""	""	""	""	
"08/02/2017 01:00'00"	"42949.0416666667"	"  25.9000"	"  93.0000"	""	""	""	""	""	""	
"08/02/2017 01:10'00"	"42949.0486111111"	"  26.0000"	"  93.0000"	""	""	""	""	""	""	
"08/02/2017 01:20'00"	"42949.0555555556"	"  26.1000"	"  94.0000"	""	""	""	""	""	""	
"08/02/2017 01:30'00"	"42949.0625000000"	"  26.1000"	"  95.0000"	""	""	""	""	""	""	
"08/02/2017 01:40'00"	"42949.0694444444"	"  25.8000"	"  94.0000"	""	""	""	""	""	""	
"08/02/2017 01:50'00"	"42949.0763888889"	"  25.7000"	"  95.0000"	""	""	""	""	""	""	
"08/02/2017 02:00'00"	"42949.0833333333"	"  25.5000"	"  96.0000"	""	""	""	""	""	""	
"08/02/2017 02:10'00"	"42949.0902777778"	"  25.5000"	"  96.0000"	""	""	""	""	""	""	
"08/02/2017 02:20'00"	"42949.0972222222"	"  25.4000"	"  96.0000"	""	""	""	""	""	""	
"08/02/2017 02:30'00"	"42949.1041666667"	"  25.5000"	"  97.0000"	""	""	""	""	""	""	
"08/02/2017 02:40'00"	"42949.1111111111"	"  25.4000"	"  97.0000"	""	""	""	""	""	""	
"08/02/2017 02:50'00"	"42949.1180555556"	"  25.5000"	"  98.0000"	""	""	""	""	""	""	
"08/02/2017 03:00'00"	"42949.1250000000"	"  25.4000"	"  98.0000"	""	""	""	""	""	""	
"08/02/2017 03:10'00"	"42949.1319444444"	"  25.3000"	"  99.0000"	""	""	""	""	""	""	
"08/02/2017 03:20'00"	"42949.1388888889"	"  25.3000"	"  99.0000"	""	""	""	""	""	""	
"08/02/2017 03:30'00"	"42949.1458333333"	"  25.4000"	"  99.0000"	""	""	""	""	""	""	
"08/02/2017 03:40'00"	"42949.1527777778"	"  25.3000"	"  99.0000"	""	""	""	""	""	""	
"08/02/2017 03:50'00"	"42949.1597222222"	"  25.4000"	"  99.0000"	""	""	""	""	""	""	
"08/02/2017 04:00'00"	"42949.1666666667"	"  25.4000"	"  99.0000"	""	""	""	""	""	""	
"08/02/2017 04:10'00"	"42949.1736111111"	"  25.5000"	"  99.0000"	""	""	""	""	""	""	
"08/02/2017 04:20'00"	"42949.1805555556"	"  25.4000"	"  99.0000"	""	""	""	""	""	""	
"08/02/2017 04:30'00"	"42949.1875000000"	"  25.4000"	"  99.0000"	""	""	""	""	""	""	
"08/02/2017 04:40'00"	"42949.1944444444"	"  25.5000"	"  99.0000"	""	""	""	""	""	""	
"08/02/2017 04:50'00"	"42949.2013888889"	"  25.4000"	"  98.0000"	""	""	""	""	""	""	
"08/02/2017 05:00'00"	"42949.2083333333"	"  25.3000"	"  96.0000"	""	""	""	""	""	""	
"08/02/2017 05:10'00"	"42949.2152777778"	"  25.3000"	"  97.0000"	""	""	""	""	""	""	
"08/02/2017 05:20'00"	"42949.2222222222"	"  25.4000"	"  98.0000"	""	""	""	""	""	""	
"08/02/2017 05:30'00"	"42949.2291666667"	"  25.5000"	"  99.0000"	""	""	""	""	""	""	
"08/02/2017 05:40'00"	"42949.2361111111"	"  25.7000"	"  99.0000"	""	""	""	""	""	""	
"08/02/2017 05:50'00"	"42949.2430555556"	"  25.8000"	"  99.0000"	""	""	""	""	""	""	
"08/02/2017 06:00'00"	"42949.2500000000"	"  26.0000"	"  99.0000"	""	""	""	""	""	""	
"08/02/2017 06:10'00"	"42949.2569444444"	"  26.1000"	"  98.0000"	""	""	""	""	""	""	
"08/02/2017 06:20'00"	"42949.2638888889"	"  26.3000"	"  97.0000"	""	""	""	""	""	""	
"08/02/2017 06:30'00"	"42949.2708333333"	"  26.6000"	"  95.0000"	""	""	""	""	""	""	
"08/02/2017 06:40'00"	"42949.2777777778"	"  27.0000"	"  93.0000"	""	""	""	""	""	""	
"08/02/2017 06:50'00"	"42949.2847222222"	"  27.3000"	"  92.0000"	""	""	""	""	""	""	
"08/02/2017 07:00'00"	"42949.2916666667"	"  27.8000"	"  93.0000"	""	""	""	""	""	""	
"08/02/2017 07:10'00"	"42949.2986111111"	"  27.6000"	"  88.0000"	""	""	""	""	""	""	
"08/02/2017 07:20'00"	"42949.3055555556"	"  27.6000"	"  90.0000"	""	""	""	""	""	""	
"08/02/2017 07:30'00"	"42949.3125000000"	"  27.3000"	"  90.0000"	""	""	""	""	""	""	
"08/02/2017 07:40'00"	"42949.3194444444"	"  26.9000"	"  90.0000"	""	""	""	""	""	""	
"08/02/2017 07:50'00"	"42949.3263888889"	"  26.7000"	"  91.0000"	""	""	""	""	""	""	
"08/02/2017 08:00'00"	"42949.3333333333"	"  26.7000"	"  90.0000"	""	""	""	""	""	""	
"08/02/2017 08:10'00"	"42949.3402777778"	"  26.9000"	"  92.0000"	""	""	""	""	""	""	
"08/02/2017 08:20'00"	"42949.3472222222"	"  27.4000"	"  91.0000"	""	""	""	""	""	""	
"08/02/2017 08:30'00"	"42949.3541666667"	"  28.3000"	"  86.0000"	""	""	""	""	""	""	
"08/02/2017 08:40'00"	"42949.3611111111"	"  28.1000"	"  93.0000"	""	""	""	""	""	""	
"08/02/2017 08:50'00"	"42949.3680555556"	"  27.8000"	"  93.0000"	""	""	""	""	""	""	
"08/02/2017 09:00'00"	"42949.3750000000"	"  28.2000"	"  90.0000"	""	""	""	""	""	""	
"08/02/2017 09:10'00"	"42949.3819444444"	"  29.0000"	"  88.0000"	""	""	""	""	""	""	
"08/02/2017 09:20'00"	"42949.3888888889"	"  29.0000"	"  85.0000"	""	""	""	""	""	""	
"08/02/2017 09:30'00"	"42949.3958333333"	"  27.6000"	"  86.0000"	""	""	""	""	""	""	
"08/02/2017 09:40'00"	"42949.4027777778"	"  26.8000"	"  92.0000"	""	""	""	""	""	""	
"08/02/2017 09:50'00"	"42949.4097222222"	"  28.0000"	"  96.0000"	""	""	""	""	""	""	
"08/02/2017 10:00'00"	"42949.4166666667"	"  28.0000"	"  95.0000"	""	""	""	""	""	""	
"08/02/2017 10:10'00"	"42949.4236111111"	"  27.7000"	"  93.0000"	""	""	""	""	""	""	
"08/02/2017 10:20'00"	"42949.4305555556"	"  27.2000"	"  92.0000"	""	""	""	""	""	""	
"08/02/2017 10:30'00"	"42949.4375000000"	"  27.2000"	"  91.0000"	""	""	""	""	""	""	
"08/02/2017 10:40'00"	"42949.4444444444"	"  28.1000"	"  89.0000"	""	""	""	""	""	""	
"08/02/2017 10:50'00"	"42949.4513888889"	"  29.4000"	"  88.0000"	""	""	""	""	""	""	
"08/02/2017 11:00'00"	"42949.4583333333"	"  31.0000"	"  85.0000"	""	""	""	""	""	""	
"08/02/2017 11:10'00"	"42949.4652777778"	"  31.6000"	"  74.0000"	""	""	""	""	""	""	
"08/02/2017 11:20'00"	"42949.4722222222"	"  31.8000"	"  71.0000"	""	""	""	""	""	""	
"08/02/2017 11:30'00"	"42949.4791666667"	"  32.4000"	"  72.0000"	""	""	""	""	""	""	
"08/02/2017 11:40'00"	"42949.4861111111"	"  32.3000"	"  69.0000"	""	""	""	""	""	""	
"08/02/2017 11:50'00"	"42949.4930555556"	"  33.0000"	"  67.0000"	""	""	""	""	""	""	
"08/02/2017 12:00'00"	"42949.5000000000"	"  33.3000"	"  67.0000"	""	""	""	""	""	""	
"08/02/2017 12:10'00"	"42949.5069444444"	"  33.3000"	"  64.0000"	""	""	""	""	""	""	
"08/02/2017 12:20'00"	"42949.5138888889"	"  33.0000"	"  62.0000"	""	""	""	""	""	""	
"08/02/2017 12:30'00"	"42949.5208333333"	"  32.4000"	"  62.0000"	""	""	""	""	""	""	
"08/02/2017 12:40'00"	"42949.5277777778"	"  33.0000"	"  62.0000"	""	""	""	""	""	""	
"08/02/2017 12:50'00"	"42949.5347222222"	"  31.5000"	"  63.0000"	""	""	""	""	""	""	
"08/02/2017 13:00'00"	"42949.5416666667"	"  30.3000"	"  68.0000"	""	""	""	""	""	""	
"08/02/2017 13:10'00"	"42949.5486111111"	"  30.0000"	"  70.0000"	""	""	""	""	""	""	
"08/02/2017 13:20'00"	"42949.5555555556"	"  29.3000"	"  72.0000"	""	""	""	""	""	""	
"08/02/2017 13:30'00"	"42949.5625000000"	"  29.7000"	"  74.0000"	""	""	""	""	""	""	
"08/02/2017 13:40'00"	"42949.5694444444"	"  30.2000"	"  73.0000"	""	""	""	""	""	""	
"08/02/2017 13:50'00"	"42949.5763888889"	"  29.6000"	"  72.0000"	""	""	""	""	""	""	
"08/02/2017 14:00'00"	"42949.5833333333"	"  29.6000"	"  76.0000"	""	""	""	""	""	""	
"08/02/2017 14:10'00"	"42949.5902777778"	"  29.2000"	"  72.0000"	""	""	""	""	""	""	
"08/02/2017 14:20'00"	"42949.5972222222"	"  28.6000"	"  73.0000"	""	""	""	""	""	""	
"08/02/2017 14:30'00"	"42949.6041666667"	"  28.3000"	"  75.0000"	""	""	""	""	""	""	
"08/02/2017 14:40'00"	"42949.6111111111"	"  28.0000"	"  76.0000"	""	""	""	""	""	""	
"08/02/2017 14:50'00"	"42949.6180555556"	"  29.1000"	"  76.0000"	""	""	""	""	""	""	
"08/02/2017 15:00'00"	"42949.6250000000"	"  29.6000"	"  74.0000"	""	""	""	""	""	""	
"08/02/2017 15:10'00"	"42949.6319444444"	"  29.2000"	"  73.0000"	""	""	""	""	""	""	
"08/02/2017 15:20'00"	"42949.6388888889"	"  28.3000"	"  75.0000"	""	""	""	""	""	""	
"08/02/2017 15:30'00"	"42949.6458333333"	"  27.6000"	"  76.0000"	""	""	""	""	""	""	
"08/02/2017 15:40'00"	"42949.6527777778"	"  27.2000"	"  79.0000"	""	""	""	""	""	""	
"08/02/2017 15:50'00"	"42949.6597222222"	"  26.9000"	"  79.0000"	""	""	""	""	""	""	
"08/02/2017 16:00'00"	"42949.6666666667"	"  26.6000"	"  80.0000"	""	""	""	""	""	""	
"08/02/2017 16:10'00"	"42949.6736111111"	"  26.6000"	"  83.0000"	""	""	""	""	""	""	
"08/02/2017 16:20'00"	"42949.6805555556"	"  26.5000"	"  83.0000"	""	""	""	""	""	""	
"08/02/2017 16:30'00"	"42949.6875000000"	"  26.5000"	"  84.0000"	""	""	""	""	""	""	
"08/02/2017 16:40'00"	"42949.6944444444"	"  26.5000"	"  83.0000"	""	""	""	""	""	""	
"08/02/2017 16:50'00"	"42949.7013888889"	"  26.2000"	"  83.0000"	""	""	""	""	""	""	
"08/02/2017 17:00'00"	"42949.7083333333"	"  26.0000"	"  84.0000"	""	""	""	""	""	""	
"08/02/2017 17:10'00"	"42949.7152777778"	"  25.6000"	"  86.0000"	""	""	""	""	""	""	
"08/02/2017 17:20'00"	"42949.7222222222"	"  25.5000"	"  85.0000"	""	""	""	""	""	""	
"08/02/2017 17:30'00"	"42949.7291666667"	"  25.6000"	"  84.0000"	""	""	""	""	""	""	
"08/02/2017 17:40'00"	"42949.7361111111"	"  25.8000"	"  84.0000"	""	""	""	""	""	""	
"08/02/2017 17:50'00"	"42949.7430555556"	"  25.7000"	"  83.0000"	""	""	""	""	""	""	
"08/02/2017 18:00'00"	"42949.7500000000"	"  25.5000"	"  81.0000"	""	""	""	""	""	""	
"08/02/2017 18:10'00"	"42949.7569444444"	"  25.5000"	"  83.0000"	""	""	""	""	""	""	
"08/02/2017 18:20'00"	"42949.7638888889"	"  25.5000"	"  80.0000"	""	""	""	""	""	""	
