Date/Time,T20,ST
2017/8/6 1:20,26,27.9
2017/8/6 1:30,25.9,27.9
2017/8/6 1:40,26,27.8
2017/8/6 1:50,26,27.8
2017/8/6 2:00,26.1,27.9
2017/8/6 2:10,25.8,27.8
2017/8/6 2:20,25.9,27.8
2017/8/6 2:30,25.5,27.7
2017/8/6 2:40,25.4,27.8
2017/8/6 2:50,25.3,27.7
2017/8/6 3:00,25.6,27.7
2017/8/6 3:10,25.5,27.7
2017/8/6 3:20,25.5,27.6
2017/8/6 3:30,25.4,27.6
2017/8/6 3:40,25.3,27.6
2017/8/6 3:50,25.3,27.6
2017/8/6 4:00,25.3,27.6
2017/8/6 4:10,25.3,27.5
2017/8/6 4:20,25.3,27.5
2017/8/6 4:30,25.3,27.5
2017/8/6 4:40,25.3,27.5
2017/8/6 4:50,25.2,27.5
