date,T20_mean,ST_mean,T60_mean,H_mean,T20_min,ST_min,T60_min,H_min,T20_max,ST_max,T60_max,H_max
2019-04-24,19.30972222222222,19.234722222222224,19.26388888888889,90.09444444444448,17.7,18.8,17.3,77.3,21.7,19.5,22.5,99.2
2019-04-25,21.48472222222222,20.17916666666667,22.4013888888889,84.83333333333333,18.3,19.1,17.9,67.3,26.8,21.6,30.8,100.0
2019-04-26,19.859722222222228,19.19166666666667,20.43472222222222,73.94861111111112,16.1,17.6,16.0,50.8,25.7,20.2,29.3,95.3
2019-04-27,15.127777777777782,15.823611111111108,15.845833333333335,52.52916666666667,9.7,14.0,9.1,35.3,22.2,17.4,24.8,80.3
2019-04-28,15.00972222222222,15.020833333333346,15.972222222222225,58.00138888888888,7.0,12.6,6.0,30.7,22.6,16.7,27.7,88.7
2019-04-29,16.6875,16.473611111111108,16.934722222222227,74.00833333333333,13.5,15.4,12.8,49.7,23.9,17.9,27.2,91.3
2019-04-30,17.83888888888889,17.876388888888886,17.69305555555556,80.86527777777776,13.7,16.0,13.2,57.3,25.0,22.6,23.8,98.2
2019-05-01,19.004166666666666,18.368055555555557,18.959722222222226,81.30972222222222,15.8,15.7,15.8,55.1,26.7,23.7,26.7,92.3
2019-05-02,22.53194444444445,21.138888888888882,22.213888888888885,48.91388888888889,13.2,13.0,13.1,19.9,33.1,31.0,33.4,82.8
2019-05-03,21.49861111111112,20.434722222222224,21.119444444444447,57.48472222222222,10.6,10.4,10.6,23.2,35.9,29.4,37.2,86.9
2019-05-04,23.690277777777776,22.03333333333334,22.83472222222223,58.080555555555556,11.4,11.2,11.3,24.2,36.9,32.9,38.5,91.1
2019-05-05,23.484722222222228,22.063888888888897,22.6875,60.8152777777778,13.1,12.8,13.0,27.5,37.3,34.3,33.8,86.8
2019-05-06,23.70833333333333,22.35277777777779,22.91666666666667,61.30694444444444,15.6,15.3,15.5,30.6,36.4,33.0,34.3,89.7
2019-05-07,21.306944444444444,20.000000000000004,21.279166666666665,40.22500000000001,11.9,11.8,11.8,14.9,32.7,29.7,34.5,78.8
2019-05-08,21.699999999999996,19.78888888888889,20.96527777777777,45.80000000000001,8.5,8.3,8.4,15.7,35.9,31.6,36.6,78.3
2019-05-09,20.606944444444444,19.16666666666667,20.083333333333332,55.316666666666684,12.8,12.5,12.6,23.4,35.0,29.3,32.5,82.1
2019-05-10,24.28611111111111,22.50416666666666,23.504166666666674,53.79444444444447,10.7,10.5,10.7,16.7,39.8,37.0,37.5,88.4
2019-05-11,25.197222222222216,23.612499999999997,24.326388888888882,56.36805555555557,13.2,13.0,13.1,23.5,37.5,34.7,36.7,86.5
2019-05-12,26.02638888888889,24.394444444444453,25.08472222222222,59.73333333333332,15.1,14.8,15.1,25.0,39.8,36.7,35.5,88.2
2019-05-13,25.65555555555556,24.330555555555563,24.809722222222213,63.588888888888896,17.0,16.8,16.9,36.1,34.8,32.4,33.3,89.1
2019-05-14,19.162499999999994,18.66666666666667,18.954166666666666,80.51666666666667,15.5,15.4,15.5,63.0,24.3,23.0,23.6,89.6
2019-05-15,23.70277777777778,22.522222222222222,23.077777777777786,61.28888888888889,15.4,15.2,15.3,28.5,37.5,34.2,36.1,88.4
2019-05-16,23.208333333333346,22.362499999999997,22.954166666666673,62.683333333333316,15.4,15.0,15.4,35.7,33.8,30.5,32.5,86.1
2019-05-17,23.201388888888882,22.811111111111114,22.795833333333338,63.30555555555554,17.0,16.8,16.9,37.9,31.8,30.7,30.3,89.6
2019-05-18,22.25972222222222,22.012500000000003,21.99166666666667,57.90833333333332,18.2,18.0,18.2,41.0,29.8,29.2,29.2,74.0
2019-05-19,24.97361111111111,24.95833333333333,24.311111111111106,52.451388888888886,18.4,18.2,18.4,29.1,35.1,36.0,34.3,75.4
2019-05-20,21.334722222222215,21.134722222222226,21.07916666666667,68.85,18.0,17.7,17.9,42.5,27.8,27.8,27.9,93.0
2019-05-21,22.463888888888885,22.512499999999996,22.39027777777778,68.94722222222221,16.5,16.3,16.5,37.1,32.7,32.3,32.1,96.2
2019-05-22,23.798611111111114,24.063888888888886,23.120833333333326,47.63472222222222,15.3,15.2,15.3,22.7,34.5,38.0,33.3,84.0
2019-05-23,23.48472222222223,23.930555555555557,22.676388888888887,56.47222222222222,13.4,13.2,13.3,22.1,34.4,36.9,33.8,89.1
2019-05-24,25.548611111111107,25.876388888888894,25.019444444444446,47.32916666666668,13.5,13.2,13.4,21.2,38.3,38.4,38.6,86.5
2019-05-25,26.334722222222226,26.490277777777777,25.390277777777776,49.438888888888876,13.5,13.3,13.4,20.7,38.7,41.1,36.0,87.6
2019-05-26,26.233333333333334,26.38055555555556,25.233333333333334,61.40972222222221,15.2,15.0,15.2,27.7,37.9,39.8,35.3,89.7
2019-05-27,26.481944444444444,27.198611111111113,25.59305555555556,65.08194444444445,17.3,17.1,17.3,30.4,39.6,41.4,37.1,92.4
2019-05-28,21.856944444444444,23.14027777777778,21.633333333333336,82.11944444444444,18.0,21.1,17.9,65.1,25.9,24.3,25.2,94.3
