"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"°C"	"%RH"	""	""	""	""	""	""
"11/16/2016 15:30'00"	"42690.6458333333"	"  16.9000"	"  81.0000"	""	""	""	""	""	""	
"11/16/2016 15:40'00"	"42690.6527777778"	"  16.3000"	"  77.0000"	""	""	""	""	""	""	
"11/16/2016 15:50'00"	"42690.6597222222"	"  15.4000"	"  74.0000"	""	""	""	""	""	""	
"11/16/2016 16:00'00"	"42690.6666666667"	"  14.7000"	"  85.0000"	""	""	""	""	""	""	
"11/16/2016 16:10'00"	"42690.6736111111"	"  14.1000"	"  83.0000"	""	""	""	""	""	""	
"11/16/2016 16:20'00"	"42690.6805555556"	"  13.6000"	"  85.0000"	""	""	""	""	""	""	
"11/16/2016 16:30'00"	"42690.6875000000"	"  13.3000"	"  88.0000"	""	""	""	""	""	""	
"11/16/2016 16:40'00"	"42690.6944444444"	"  12.7000"	"  89.0000"	""	""	""	""	""	""	
"11/16/2016 16:50'00"	"42690.7013888889"	"  12.4000"	"  91.0000"	""	""	""	""	""	""	
"11/16/2016 17:00'00"	"42690.7083333333"	"  12.0000"	"  92.0000"	""	""	""	""	""	""	
"11/16/2016 17:10'00"	"42690.7152777778"	"  11.6000"	"  91.0000"	""	""	""	""	""	""	
"11/16/2016 17:20'00"	"42690.7222222222"	"  11.4000"	"  91.0000"	""	""	""	""	""	""	
"11/16/2016 17:30'00"	"42690.7291666667"	"  11.3000"	"  92.0000"	""	""	""	""	""	""	
"11/16/2016 17:40'00"	"42690.7361111111"	"  11.3000"	"  93.0000"	""	""	""	""	""	""	
"11/16/2016 17:50'00"	"42690.7430555556"	"  11.1000"	"  95.0000"	""	""	""	""	""	""	
"11/16/2016 18:00'00"	"42690.7500000000"	"  10.8000"	"  97.0000"	""	""	""	""	""	""	
"11/16/2016 18:10'00"	"42690.7569444444"	"  10.6000"	"  98.0000"	""	""	""	""	""	""	
"11/16/2016 18:20'00"	"42690.7638888889"	"  10.5000"	"  98.0000"	""	""	""	""	""	""	
"11/16/2016 18:30'00"	"42690.7708333333"	"  10.4000"	"  97.0000"	""	""	""	""	""	""	
