"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"°C"	"%RH"	""	""	""	""	""	""
"12/15/2016 06:10'00"	"42719.2569444444"	"  11.2000"	"  93.0000"	""	""	""	""	""	""	
"12/15/2016 06:20'00"	"42719.2638888889"	"  11.1000"	"  92.0000"	""	""	""	""	""	""	
"12/15/2016 06:30'00"	"42719.2708333333"	"  11.3000"	"  92.0000"	""	""	""	""	""	""	
"12/15/2016 06:40'00"	"42719.2777777778"	"  11.3000"	"  93.0000"	""	""	""	""	""	""	
"12/15/2016 06:50'00"	"42719.2847222222"	"  11.4000"	"  92.0000"	""	""	""	""	""	""	
"12/15/2016 07:00'00"	"42719.2916666667"	"  11.4000"	"  93.0000"	""	""	""	""	""	""	
"12/15/2016 07:10'00"	"42719.2986111111"	"  11.8000"	"  95.0000"	""	""	""	""	""	""	
"12/15/2016 07:20'00"	"42719.3055555556"	"  11.8000"	"  95.0000"	""	""	""	""	""	""	
"12/15/2016 07:30'00"	"42719.3125000000"	"  11.3000"	"  86.0000"	""	""	""	""	""	""	
"12/15/2016 07:40'00"	"42719.3194444444"	"  11.4000"	"  96.0000"	""	""	""	""	""	""	
"12/15/2016 07:50'00"	"42719.3263888889"	"  11.4000"	"  95.0000"	""	""	""	""	""	""	
"12/15/2016 08:00'00"	"42719.3333333333"	"  11.1000"	"  87.0000"	""	""	""	""	""	""	
"12/15/2016 08:10'00"	"42719.3402777778"	"  11.3000"	"  98.0000"	""	""	""	""	""	""	
"12/15/2016 08:20'00"	"42719.3472222222"	"  11.5000"	"  97.0000"	""	""	""	""	""	""	
"12/15/2016 08:30'00"	"42719.3541666667"	"  10.4000"	"  87.0000"	""	""	""	""	""	""	
"12/15/2016 08:40'00"	"42719.3611111111"	"   9.9000"	"  86.0000"	""	""	""	""	""	""	
"12/15/2016 08:50'00"	"42719.3680555556"	"   9.8000"	"  87.0000"	""	""	""	""	""	""	
"12/15/2016 09:00'00"	"42719.3750000000"	"  10.0000"	"  86.0000"	""	""	""	""	""	""	
"12/15/2016 09:10'00"	"42719.3819444444"	"  10.2000"	"  86.0000"	""	""	""	""	""	""	
"12/15/2016 09:20'00"	"42719.3888888889"	"  10.4000"	"  83.0000"	""	""	""	""	""	""	
"12/15/2016 09:30'00"	"42719.3958333333"	"  11.1000"	"  86.0000"	""	""	""	""	""	""	
"12/15/2016 09:40'00"	"42719.4027777778"	"  11.5000"	"  84.0000"	""	""	""	""	""	""	
"12/15/2016 09:50'00"	"42719.4097222222"	"  10.8000"	"  77.0000"	""	""	""	""	""	""	
"12/15/2016 10:00'00"	"42719.4166666667"	"  10.4000"	"  73.0000"	""	""	""	""	""	""	
"12/15/2016 10:10'00"	"42719.4236111111"	"  10.0000"	"  75.0000"	""	""	""	""	""	""	
"12/15/2016 10:20'00"	"42719.4305555556"	"   9.7000"	"  72.0000"	""	""	""	""	""	""	
"12/15/2016 10:30'00"	"42719.4375000000"	"  10.0000"	"  76.0000"	""	""	""	""	""	""	
"12/15/2016 10:40'00"	"42719.4444444444"	"  10.4000"	"  70.0000"	""	""	""	""	""	""	
"12/15/2016 10:50'00"	"42719.4513888889"	"  10.5000"	"  70.0000"	""	""	""	""	""	""	
"12/15/2016 11:00'00"	"42719.4583333333"	"  10.8000"	"  64.0000"	""	""	""	""	""	""	
"12/15/2016 11:10'00"	"42719.4652777778"	"  10.6000"	"  63.0000"	""	""	""	""	""	""	
"12/15/2016 11:20'00"	"42719.4722222222"	"  10.5000"	"  62.0000"	""	""	""	""	""	""	
"12/15/2016 11:30'00"	"42719.4791666667"	"  10.8000"	"  61.0000"	""	""	""	""	""	""	
"12/15/2016 11:40'00"	"42719.4861111111"	"  11.1000"	"  59.0000"	""	""	""	""	""	""	
"12/15/2016 11:50'00"	"42719.4930555556"	"  11.7000"	"  58.0000"	""	""	""	""	""	""	
"12/15/2016 12:00'00"	"42719.5000000000"	"  12.1000"	"  56.0000"	""	""	""	""	""	""	
"12/15/2016 12:10'00"	"42719.5069444444"	"  12.1000"	"  55.0000"	""	""	""	""	""	""	
"12/15/2016 12:20'00"	"42719.5138888889"	"  12.1000"	"  56.0000"	""	""	""	""	""	""	
"12/15/2016 12:30'00"	"42719.5208333333"	"  12.2000"	"  54.0000"	""	""	""	""	""	""	
"12/15/2016 12:40'00"	"42719.5277777778"	"  12.6000"	"  55.0000"	""	""	""	""	""	""	
"12/15/2016 12:50'00"	"42719.5347222222"	"  12.9000"	"  53.0000"	""	""	""	""	""	""	
"12/15/2016 13:00'00"	"42719.5416666667"	"  13.3000"	"  59.0000"	""	""	""	""	""	""	
"12/15/2016 13:10'00"	"42719.5486111111"	"  13.9000"	"  57.0000"	""	""	""	""	""	""	
"12/15/2016 13:20'00"	"42719.5555555556"	"  14.1000"	"  55.0000"	""	""	""	""	""	""	
"12/15/2016 13:30'00"	"42719.5625000000"	"  14.1000"	"  56.0000"	""	""	""	""	""	""	
"12/15/2016 13:40'00"	"42719.5694444444"	"  14.2000"	"  56.0000"	""	""	""	""	""	""	
"12/15/2016 13:50'00"	"42719.5763888889"	"  13.5000"	"  56.0000"	""	""	""	""	""	""	
"12/15/2016 14:00'00"	"42719.5833333333"	"  13.0000"	"  53.0000"	""	""	""	""	""	""	
"12/15/2016 14:10'00"	"42719.5902777778"	"  12.6000"	"  57.0000"	""	""	""	""	""	""	
"12/15/2016 14:20'00"	"42719.5972222222"	"  12.7000"	"  62.0000"	""	""	""	""	""	""	
"12/15/2016 14:30'00"	"42719.6041666667"	"  12.6000"	"  66.0000"	""	""	""	""	""	""	
"12/15/2016 14:40'00"	"42719.6111111111"	"  13.2000"	"  80.0000"	""	""	""	""	""	""	
"12/15/2016 14:50'00"	"42719.6180555556"	"  13.4000"	"  79.0000"	""	""	""	""	""	""	
"12/15/2016 15:00'00"	"42719.6250000000"	"  13.4000"	"  83.0000"	""	""	""	""	""	""	
"12/15/2016 15:10'00"	"42719.6319444444"	"  13.2000"	"  82.0000"	""	""	""	""	""	""	
"12/15/2016 15:20'00"	"42719.6388888889"	"  12.9000"	"  84.0000"	""	""	""	""	""	""	
"12/15/2016 15:30'00"	"42719.6458333333"	"  12.5000"	"  91.0000"	""	""	""	""	""	""	
"12/15/2016 15:40'00"	"42719.6527777778"	"  12.0000"	"  93.0000"	""	""	""	""	""	""	
"12/15/2016 15:50'00"	"42719.6597222222"	"  11.6000"	"  95.0000"	""	""	""	""	""	""	
"12/15/2016 16:00'00"	"42719.6666666667"	"  11.6000"	"  98.0000"	""	""	""	""	""	""	
"12/15/2016 16:10'00"	"42719.6736111111"	"  12.3000"	"  99.0000"	""	""	""	""	""	""	
"12/15/2016 16:20'00"	"42719.6805555556"	"  11.5000"	"  90.0000"	""	""	""	""	""	""	
"12/15/2016 16:30'00"	"42719.6875000000"	"  12.1000"	"  99.0000"	""	""	""	""	""	""	
"12/15/2016 16:40'00"	"42719.6944444444"	"  11.7000"	"  89.0000"	""	""	""	""	""	""	
"12/15/2016 16:50'00"	"42719.7013888889"	"  11.8000"	"  98.0000"	""	""	""	""	""	""	
"12/15/2016 17:00'00"	"42719.7083333333"	"  12.4000"	"  99.0000"	""	""	""	""	""	""	
"12/15/2016 17:10'00"	"42719.7152777778"	"  11.5000"	"  94.0000"	""	""	""	""	""	""	
"12/15/2016 17:20'00"	"42719.7222222222"	"  11.9000"	"  98.0000"	""	""	""	""	""	""	
"12/15/2016 17:30'00"	"42719.7291666667"	"  11.8000"	"  95.0000"	""	""	""	""	""	""	
"12/15/2016 17:40'00"	"42719.7361111111"	"  11.6000"	"  97.0000"	""	""	""	""	""	""	
"12/15/2016 17:50'00"	"42719.7430555556"	"  12.0000"	"  98.0000"	""	""	""	""	""	""	
"12/15/2016 18:00'00"	"42719.7500000000"	"  11.5000"	"  93.0000"	""	""	""	""	""	""	
"12/15/2016 18:10'00"	"42719.7569444444"	"  11.9000"	"  98.0000"	""	""	""	""	""	""	
"12/15/2016 18:20'00"	"42719.7638888889"	"  12.3000"	"  99.0000"	""	""	""	""	""	""	
"12/15/2016 18:30'00"	"42719.7708333333"	"  11.6000"	"  96.0000"	""	""	""	""	""	""	
"12/15/2016 18:40'00"	"42719.7777777778"	"  12.1000"	"  99.0000"	""	""	""	""	""	""	
"12/15/2016 18:50'00"	"42719.7847222222"	"  12.3000"	"  98.0000"	""	""	""	""	""	""	
"12/15/2016 19:00'00"	"42719.7916666667"	"  11.8000"	"  96.0000"	""	""	""	""	""	""	
"12/15/2016 19:10'00"	"42719.7986111111"	"  12.3000"	"  99.0000"	""	""	""	""	""	""	
"12/15/2016 19:20'00"	"42719.8055555556"	"  12.6000"	"  98.0000"	""	""	""	""	""	""	
"12/15/2016 19:30'00"	"42719.8125000000"	"  12.5000"	"  96.0000"	""	""	""	""	""	""	
"12/15/2016 19:40'00"	"42719.8194444444"	"  12.1000"	"  97.0000"	""	""	""	""	""	""	
"12/15/2016 19:50'00"	"42719.8263888889"	"  12.6000"	"  98.0000"	""	""	""	""	""	""	
"12/15/2016 20:00'00"	"42719.8333333333"	"  12.9000"	"  98.0000"	""	""	""	""	""	""	
"12/15/2016 20:10'00"	"42719.8402777778"	"  13.1000"	"  98.0000"	""	""	""	""	""	""	
"12/15/2016 20:20'00"	"42719.8472222222"	"  12.4000"	"  94.0000"	""	""	""	""	""	""	
"12/15/2016 20:30'00"	"42719.8541666667"	"  12.2000"	"  97.0000"	""	""	""	""	""	""	
"12/15/2016 20:40'00"	"42719.8611111111"	"  12.6000"	"  98.0000"	""	""	""	""	""	""	
"12/15/2016 20:50'00"	"42719.8680555556"	"  12.9000"	"  98.0000"	""	""	""	""	""	""	
"12/15/2016 21:00'00"	"42719.8750000000"	"  12.9000"	"  97.0000"	""	""	""	""	""	""	
"12/15/2016 21:10'00"	"42719.8819444444"	"  12.2000"	"  96.0000"	""	""	""	""	""	""	
"12/15/2016 21:20'00"	"42719.8888888889"	"  12.8000"	"  99.0000"	""	""	""	""	""	""	
"12/15/2016 21:30'00"	"42719.8958333333"	"  13.1000"	"  98.0000"	""	""	""	""	""	""	
"12/15/2016 21:40'00"	"42719.9027777778"	"  12.4000"	"  94.0000"	""	""	""	""	""	""	
"12/15/2016 21:50'00"	"42719.9097222222"	"  12.2000"	"  97.0000"	""	""	""	""	""	""	
"12/15/2016 22:00'00"	"42719.9166666667"	"  12.6000"	"  98.0000"	""	""	""	""	""	""	
"12/15/2016 22:10'00"	"42719.9236111111"	"  12.9000"	"  98.0000"	""	""	""	""	""	""	
"12/15/2016 22:20'00"	"42719.9305555556"	"  13.0000"	"  97.0000"	""	""	""	""	""	""	
"12/15/2016 22:30'00"	"42719.9375000000"	"  12.2000"	"  94.0000"	""	""	""	""	""	""	
"12/15/2016 22:40'00"	"42719.9444444444"	"  12.4000"	"  98.0000"	""	""	""	""	""	""	
"12/15/2016 22:50'00"	"42719.9513888889"	"  12.9000"	"  98.0000"	""	""	""	""	""	""	
"12/15/2016 23:00'00"	"42719.9583333333"	"  12.5000"	"  96.0000"	""	""	""	""	""	""	
"12/15/2016 23:10'00"	"42719.9652777778"	"  12.2000"	"  98.0000"	""	""	""	""	""	""	
"12/15/2016 23:20'00"	"42719.9722222222"	"  12.6000"	"  98.0000"	""	""	""	""	""	""	
"12/15/2016 23:30'00"	"42719.9791666667"	"  12.9000"	"  99.0000"	""	""	""	""	""	""	
"12/15/2016 23:40'00"	"42719.9861111111"	"  13.1000"	"  99.0000"	""	""	""	""	""	""	
"12/15/2016 23:50'00"	"42719.9930555556"	"  12.1000"	"  95.0000"	""	""	""	""	""	""	
"12/16/2016 00:00'00"	"42720.0000000000"	"  12.5000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 00:10'00"	"42720.0069444444"	"  12.9000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 00:20'00"	"42720.0138888889"	"  12.2000"	"  94.0000"	""	""	""	""	""	""	
"12/16/2016 00:30'00"	"42720.0208333333"	"  12.4000"	"  98.0000"	""	""	""	""	""	""	
"12/16/2016 00:40'00"	"42720.0277777778"	"  12.9000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 00:50'00"	"42720.0347222222"	"  12.1000"	"  96.0000"	""	""	""	""	""	""	
"12/16/2016 01:00'00"	"42720.0416666667"	"  12.6000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 01:10'00"	"42720.0486111111"	"  12.8000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 01:20'00"	"42720.0555555556"	"  12.2000"	"  98.0000"	""	""	""	""	""	""	
"12/16/2016 01:30'00"	"42720.0625000000"	"  12.9000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 01:40'00"	"42720.0694444444"	"  12.1000"	"  96.0000"	""	""	""	""	""	""	
"12/16/2016 01:50'00"	"42720.0763888889"	"  12.5000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 02:00'00"	"42720.0833333333"	"  12.6000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 02:10'00"	"42720.0902777778"	"  12.2000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 02:20'00"	"42720.0972222222"	"  12.9000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 02:30'00"	"42720.1041666667"	"  12.1000"	"  98.0000"	""	""	""	""	""	""	
"12/16/2016 02:40'00"	"42720.1111111111"	"  12.7000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 02:50'00"	"42720.1180555556"	"  12.4000"	"  98.0000"	""	""	""	""	""	""	
"12/16/2016 03:00'00"	"42720.1250000000"	"  12.5000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 03:10'00"	"42720.1319444444"	"  12.9000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 03:20'00"	"42720.1388888889"	"  12.2000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 03:30'00"	"42720.1458333333"	"  12.7000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 03:40'00"	"42720.1527777778"	"  12.9000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 03:50'00"	"42720.1597222222"	"  12.2000"	"  98.0000"	""	""	""	""	""	""	
"12/16/2016 04:00'00"	"42720.1666666667"	"  12.5000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 04:10'00"	"42720.1736111111"	"  12.8000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 04:20'00"	"42720.1805555556"	"  13.0000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 04:30'00"	"42720.1875000000"	"  12.2000"	"  96.0000"	""	""	""	""	""	""	
"12/16/2016 04:40'00"	"42720.1944444444"	"  12.3000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 04:50'00"	"42720.2013888889"	"  12.6000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 05:00'00"	"42720.2083333333"	"  12.8000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 05:10'00"	"42720.2152777778"	"  12.8000"	"  98.0000"	""	""	""	""	""	""	
"12/16/2016 05:20'00"	"42720.2222222222"	"  12.9000"	"  98.0000"	""	""	""	""	""	""	
"12/16/2016 05:30'00"	"42720.2291666667"	"  12.5000"	"  96.0000"	""	""	""	""	""	""	
"12/16/2016 05:40'00"	"42720.2361111111"	"  12.3000"	"  98.0000"	""	""	""	""	""	""	
"12/16/2016 05:50'00"	"42720.2430555556"	"  12.9000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 06:00'00"	"42720.2500000000"	"  12.2000"	"  96.0000"	""	""	""	""	""	""	
"12/16/2016 06:10'00"	"42720.2569444444"	"  12.1000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 06:20'00"	"42720.2638888889"	"  12.3000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 06:30'00"	"42720.2708333333"	"  12.6000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 06:40'00"	"42720.2777777778"	"  11.8000"	"  98.0000"	""	""	""	""	""	""	
"12/16/2016 06:50'00"	"42720.2847222222"	"  12.2000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 07:00'00"	"42720.2916666667"	"  12.5000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 07:10'00"	"42720.2986111111"	"  12.7000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 07:20'00"	"42720.3055555556"	"  12.0000"	"  96.0000"	""	""	""	""	""	""	
"12/16/2016 07:30'00"	"42720.3125000000"	"  12.4000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 07:40'00"	"42720.3194444444"	"  12.9000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 07:50'00"	"42720.3263888889"	"  12.0000"	"  96.0000"	""	""	""	""	""	""	
"12/16/2016 08:00'00"	"42720.3333333333"	"  12.6000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 08:10'00"	"42720.3402777778"	"  11.9000"	"  94.0000"	""	""	""	""	""	""	
"12/16/2016 08:20'00"	"42720.3472222222"	"  11.6000"	"  92.0000"	""	""	""	""	""	""	
"12/16/2016 08:30'00"	"42720.3541666667"	"  12.0000"	"  92.0000"	""	""	""	""	""	""	
"12/16/2016 08:40'00"	"42720.3611111111"	"  12.2000"	"  89.0000"	""	""	""	""	""	""	
"12/16/2016 08:50'00"	"42720.3680555556"	"  11.7000"	"  86.0000"	""	""	""	""	""	""	
"12/16/2016 09:00'00"	"42720.3750000000"	"  11.4000"	"  87.0000"	""	""	""	""	""	""	
"12/16/2016 09:10'00"	"42720.3819444444"	"  11.3000"	"  88.0000"	""	""	""	""	""	""	
"12/16/2016 09:20'00"	"42720.3888888889"	"  11.3000"	"  87.0000"	""	""	""	""	""	""	
"12/16/2016 09:30'00"	"42720.3958333333"	"  11.5000"	"  87.0000"	""	""	""	""	""	""	
"12/16/2016 09:40'00"	"42720.4027777778"	"  12.0000"	"  86.0000"	""	""	""	""	""	""	
"12/16/2016 09:50'00"	"42720.4097222222"	"  12.6000"	"  85.0000"	""	""	""	""	""	""	
"12/16/2016 10:00'00"	"42720.4166666667"	"  12.2000"	"  77.0000"	""	""	""	""	""	""	
"12/16/2016 10:10'00"	"42720.4236111111"	"  11.2000"	"  75.0000"	""	""	""	""	""	""	
"12/16/2016 10:20'00"	"42720.4305555556"	"  10.4000"	"  75.0000"	""	""	""	""	""	""	
"12/16/2016 10:30'00"	"42720.4375000000"	"  10.2000"	"  73.0000"	""	""	""	""	""	""	
"12/16/2016 10:40'00"	"42720.4444444444"	"   9.7000"	"  69.0000"	""	""	""	""	""	""	
"12/16/2016 10:50'00"	"42720.4513888889"	"   9.9000"	"  71.0000"	""	""	""	""	""	""	
"12/16/2016 11:00'00"	"42720.4583333333"	"  10.0000"	"  69.0000"	""	""	""	""	""	""	
"12/16/2016 11:10'00"	"42720.4652777778"	"  11.1000"	"  74.0000"	""	""	""	""	""	""	
"12/16/2016 11:20'00"	"42720.4722222222"	"  12.5000"	"  72.0000"	""	""	""	""	""	""	
"12/16/2016 11:30'00"	"42720.4791666667"	"  13.7000"	"  70.0000"	""	""	""	""	""	""	
"12/16/2016 11:40'00"	"42720.4861111111"	"  14.0000"	"  64.0000"	""	""	""	""	""	""	
"12/16/2016 11:50'00"	"42720.4930555556"	"  14.3000"	"  62.0000"	""	""	""	""	""	""	
"12/16/2016 12:00'00"	"42720.5000000000"	"  14.2000"	"  61.0000"	""	""	""	""	""	""	
"12/16/2016 12:10'00"	"42720.5069444444"	"  14.2000"	"  63.0000"	""	""	""	""	""	""	
"12/16/2016 12:20'00"	"42720.5138888889"	"  14.1000"	"  62.0000"	""	""	""	""	""	""	
"12/16/2016 12:30'00"	"42720.5208333333"	"  14.3000"	"  61.0000"	""	""	""	""	""	""	
"12/16/2016 12:40'00"	"42720.5277777778"	"  14.3000"	"  59.0000"	""	""	""	""	""	""	
"12/16/2016 12:50'00"	"42720.5347222222"	"  13.8000"	"  59.0000"	""	""	""	""	""	""	
"12/16/2016 13:00'00"	"42720.5416666667"	"  14.2000"	"  62.0000"	""	""	""	""	""	""	
"12/16/2016 13:10'00"	"42720.5486111111"	"  14.4000"	"  61.0000"	""	""	""	""	""	""	
"12/16/2016 13:20'00"	"42720.5555555556"	"  14.6000"	"  61.0000"	""	""	""	""	""	""	
"12/16/2016 13:30'00"	"42720.5625000000"	"  14.5000"	"  60.0000"	""	""	""	""	""	""	
"12/16/2016 13:40'00"	"42720.5694444444"	"  14.2000"	"  63.0000"	""	""	""	""	""	""	
"12/16/2016 13:50'00"	"42720.5763888889"	"  14.0000"	"  63.0000"	""	""	""	""	""	""	
"12/16/2016 14:00'00"	"42720.5833333333"	"  13.7000"	"  66.0000"	""	""	""	""	""	""	
"12/16/2016 14:10'00"	"42720.5902777778"	"  13.6000"	"  68.0000"	""	""	""	""	""	""	
"12/16/2016 14:20'00"	"42720.5972222222"	"  13.4000"	"  69.0000"	""	""	""	""	""	""	
"12/16/2016 14:30'00"	"42720.6041666667"	"  13.0000"	"  69.0000"	""	""	""	""	""	""	
"12/16/2016 14:40'00"	"42720.6111111111"	"  12.7000"	"  76.0000"	""	""	""	""	""	""	
"12/16/2016 14:50'00"	"42720.6180555556"	"  13.0000"	"  77.0000"	""	""	""	""	""	""	
"12/16/2016 15:00'00"	"42720.6250000000"	"  12.8000"	"  73.0000"	""	""	""	""	""	""	
"12/16/2016 15:10'00"	"42720.6319444444"	"  12.3000"	"  72.0000"	""	""	""	""	""	""	
"12/16/2016 15:20'00"	"42720.6388888889"	"  11.7000"	"  73.0000"	""	""	""	""	""	""	
"12/16/2016 15:30'00"	"42720.6458333333"	"  11.1000"	"  79.0000"	""	""	""	""	""	""	
"12/16/2016 15:40'00"	"42720.6527777778"	"  10.7000"	"  81.0000"	""	""	""	""	""	""	
"12/16/2016 15:50'00"	"42720.6597222222"	"  10.5000"	"  93.0000"	""	""	""	""	""	""	
"12/16/2016 16:00'00"	"42720.6666666667"	"  11.3000"	"  95.0000"	""	""	""	""	""	""	
"12/16/2016 16:10'00"	"42720.6736111111"	"  11.3000"	"  88.0000"	""	""	""	""	""	""	
"12/16/2016 16:20'00"	"42720.6805555556"	"  10.5000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 16:30'00"	"42720.6875000000"	"  10.8000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 16:40'00"	"42720.6944444444"	"  10.1000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 16:50'00"	"42720.7013888889"	"  10.2000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 17:00'00"	"42720.7083333333"	"   9.7000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 17:10'00"	"42720.7152777778"	"   9.9000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 17:20'00"	"42720.7222222222"	"   9.7000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 17:30'00"	"42720.7291666667"	"   9.9000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 17:40'00"	"42720.7361111111"	"   9.5000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 17:50'00"	"42720.7430555556"	"   9.8000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 18:00'00"	"42720.7500000000"	"  10.1000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 18:10'00"	"42720.7569444444"	"   9.7000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 18:20'00"	"42720.7638888889"	"   9.9000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 18:30'00"	"42720.7708333333"	"   9.7000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 18:40'00"	"42720.7777777778"	"   9.8000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 18:50'00"	"42720.7847222222"	"  10.0000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 19:00'00"	"42720.7916666667"	"  10.0000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 19:10'00"	"42720.7986111111"	"  10.1000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 19:20'00"	"42720.8055555556"	"  10.4000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 19:30'00"	"42720.8125000000"	"  10.1000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 19:40'00"	"42720.8194444444"	"  10.1000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 19:50'00"	"42720.8263888889"	"  10.2000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 20:00'00"	"42720.8333333333"	"  10.1000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 20:10'00"	"42720.8402777778"	"  10.2000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 20:20'00"	"42720.8472222222"	"  10.0000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 20:30'00"	"42720.8541666667"	"  10.2000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 20:40'00"	"42720.8611111111"	"  10.5000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 20:50'00"	"42720.8680555556"	"  10.2000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 21:00'00"	"42720.8750000000"	"  10.4000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 21:10'00"	"42720.8819444444"	"  10.4000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 21:20'00"	"42720.8888888889"	"  10.1000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 21:30'00"	"42720.8958333333"	"  10.4000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 21:40'00"	"42720.9027777778"	"  10.2000"	"  97.0000"	""	""	""	""	""	""	
"12/16/2016 21:50'00"	"42720.9097222222"	"  10.2000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 22:00'00"	"42720.9166666667"	"  10.5000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 22:10'00"	"42720.9236111111"	"  10.3000"	"  98.0000"	""	""	""	""	""	""	
"12/16/2016 22:20'00"	"42720.9305555556"	"  10.3000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 22:30'00"	"42720.9375000000"	"  10.7000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 22:40'00"	"42720.9444444444"	"  10.4000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 22:50'00"	"42720.9513888889"	"  10.5000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 23:00'00"	"42720.9583333333"	"  10.8000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 23:10'00"	"42720.9652777778"	"  10.4000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 23:20'00"	"42720.9722222222"	"  10.5000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 23:30'00"	"42720.9791666667"	"  10.8000"	"  99.0000"	""	""	""	""	""	""	
"12/16/2016 23:40'00"	"42720.9861111111"	"  10.4000"	"  98.0000"	""	""	""	""	""	""	
"12/16/2016 23:50'00"	"42720.9930555556"	"  10.6000"	"  99.0000"	""	""	""	""	""	""	
"12/17/2016 00:00'00"	"42721.0000000000"	"  10.9000"	"  99.0000"	""	""	""	""	""	""	
"12/17/2016 00:10'00"	"42721.0069444444"	"  10.4000"	"  98.0000"	""	""	""	""	""	""	
"12/17/2016 00:20'00"	"42721.0138888889"	"  10.5000"	"  99.0000"	""	""	""	""	""	""	
"12/17/2016 00:30'00"	"42721.0208333333"	"  10.8000"	"  99.0000"	""	""	""	""	""	""	
"12/17/2016 00:40'00"	"42721.0277777778"	"  10.8000"	"  98.0000"	""	""	""	""	""	""	
"12/17/2016 00:50'00"	"42721.0347222222"	"  10.6000"	"  99.0000"	""	""	""	""	""	""	
