Date/Time,ch.1,ch.2
01/09/2019 16:50'00,19.7,21.4
01/09/2019 17:00'00,18.5,21.3
01/09/2019 17:10'00,17.6,21.2
01/09/2019 17:20'00,17,21
01/09/2019 17:30'00,16.3,20.9
01/09/2019 17:40'00,15.8,20.8
01/09/2019 17:50'00,15.3,20.6
01/09/2019 18:00'00,14.9,20.5
01/09/2019 18:10'00,14.6,20.3
01/09/2019 18:20'00,14.2,20.2
01/09/2019 18:30'00,15.1,20
01/09/2019 18:40'00,14.9,20
01/09/2019 18:50'00,14.2,19.8
01/09/2019 19:00'00,14.2,19.6
01/09/2019 19:10'00,15,19.5
01/09/2019 19:20'00,14.1,19.4
01/09/2019 19:30'00,14.3,19.3
01/09/2019 19:40'00,14.9,19.2
01/09/2019 19:50'00,14.1,19.1
01/09/2019 20:00'00,14.8,19
01/09/2019 20:10'00,14.3,18.9
01/09/2019 20:20'00,13.8,18.8
01/09/2019 20:30'00,15,18.7
01/09/2019 20:40'00,13.6,18.7
01/09/2019 20:50'00,14.6,18.6
01/09/2019 21:00'00,14,18.6
01/09/2019 21:10'00,14,18.5
01/09/2019 21:20'00,14.8,18.4
01/09/2019 21:30'00,13.3,18.4
01/09/2019 21:40'00,14.9,18.3
01/09/2019 21:50'00,13.5,18.3
01/09/2019 22:00'00,14.2,18.2
01/09/2019 22:10'00,14.2,18.1
01/09/2019 22:20'00,13.5,18.1
01/09/2019 22:30'00,14.9,18
01/09/2019 22:40'00,13.1,18
01/09/2019 22:50'00,14.3,17.9
01/09/2019 23:00'00,13.8,17.9
01/09/2019 23:10'00,13.7,17.8
01/09/2019 23:20'00,14.5,17.8
01/09/2019 23:30'00,13.2,17.8
01/09/2019 23:40'00,14.6,17.7
01/09/2019 23:50'00,13.4,17.7
01/10/2019 00:00'00,14,17.6
01/10/2019 00:10'00,14.2,17.5
01/10/2019 00:20'00,13.3,17.5
01/10/2019 00:30'00,14.5,17.4
01/10/2019 00:40'00,12.9,17.5
01/10/2019 00:50'00,14.1,17.4
01/10/2019 01:00'00,13.6,17.4
01/10/2019 01:10'00,13.5,17.4
01/10/2019 01:20'00,14.3,17.3
01/10/2019 01:30'00,13.1,17.3
01/10/2019 01:40'00,14.4,17.2
01/10/2019 01:50'00,13,17.3
01/10/2019 02:00'00,14,17.2
01/10/2019 02:10'00,13.8,17.2
01/10/2019 02:20'00,13.2,17.2
01/10/2019 02:30'00,14.4,17.1
01/10/2019 02:40'00,12.7,17.1
01/10/2019 02:50'00,13.5,17.1
01/10/2019 03:00'00,13.6,17
01/10/2019 03:10'00,13,17
01/10/2019 03:20'00,14.3,16.9
01/10/2019 03:30'00,12.7,17
01/10/2019 03:40'00,13.7,16.9
01/10/2019 03:50'00,13.7,16.9
01/10/2019 04:00'00,12.9,16.9
01/10/2019 04:10'00,14.2,16.8
01/10/2019 04:20'00,12.5,16.8
01/10/2019 04:30'00,13.3,16.8
01/10/2019 04:40'00,13.7,16.7
01/10/2019 04:50'00,12.8,16.7
01/10/2019 05:00'00,14,16.7
01/10/2019 05:10'00,12.6,16.7
01/10/2019 05:20'00,13.2,16.7
01/10/2019 05:30'00,13.7,16.6
01/10/2019 05:40'00,12.9,16.6
01/10/2019 05:50'00,14,16.6
01/10/2019 06:00'00,12.7,16.6
01/10/2019 06:10'00,13.6,16.6
01/10/2019 06:20'00,13.5,16.6
01/10/2019 06:30'00,13,16.6
01/10/2019 06:40'00,14.5,16.5
01/10/2019 06:50'00,12.5,16.5
01/10/2019 07:00'00,13.6,16.5
01/10/2019 07:10'00,13.7,16.5
01/10/2019 07:20'00,13,16.5
01/10/2019 07:30'00,14.4,16.4
01/10/2019 07:40'00,12.8,16.5
01/10/2019 07:50'00,14.8,16.4
01/10/2019 08:00'00,13.5,16.5
01/10/2019 08:10'00,13.4,16.5
01/10/2019 08:20'00,14.7,16.5
01/10/2019 08:30'00,13.5,16.5
01/10/2019 08:40'00,13.4,16.5
01/10/2019 08:50'00,15.1,16.5
01/10/2019 09:00'00,13.9,16.5
01/10/2019 09:10'00,12.2,16.5
01/10/2019 09:20'00,12.7,16.5
01/10/2019 09:30'00,14,16.4
01/10/2019 09:40'00,15.1,16.4
01/10/2019 09:50'00,15.5,16.4
01/10/2019 10:00'00,17.5,16.4
01/10/2019 10:10'00,19.1,16.5
01/10/2019 10:20'00,20.2,16.6
01/10/2019 10:30'00,21.4,16.7
01/10/2019 10:40'00,20.6,16.8
01/10/2019 10:50'00,20.2,16.9
