date,T20_mean_x,ST_mean_x,T60_mean_x,H_mean_x,T20_min_x,ST_min_x,T60_min_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,H_max_x,T20_mean_y,ST_mean_y,T60_mean_y,H_mean_y,T20_min_y,ST_min_y,T60_min_y,H_min_y,T20_max_y,ST_max_y,T60_max_y,H_max_y,T20_mean_z,ST_mean_z,T60_mean_z,H_mean_z,T20_min_z,ST_min_z,T60_min_z,H_min_z,T20_max_z,ST_max_z,T60_max_z,H_max_z,T20_mean_a,ST_mean_a,T60_mean_a,H_mean_a,T20_min_a,ST_min_a,T60_min_a,H_min_a,T20_max_a,ST_max_a,T60_max_a,H_max_a,T20_mean_b,ST_mean_b,T60_mean_b,H_mean_b,T20_min_b,ST_min_b,T60_min_b,H_min_b,T20_max_b,ST_max_b,T60_max_b,H_max_b,T20_mean_c,ST_mean_c,T60_mean_c,H_mean_c,T20_min_c,ST_min_c,T60_min_c,H_min_c,T20_max_c,ST_max_c,T60_max_c,H_max_c,T20_mean_d,ST_mean_d,T60_mean_d,H_mean_d,T20_min_d,ST_min_d,T60_min_d,H_min_d,T20_max_d,ST_max_d,T60_max_d,H_max_d
2017-11-06,16.416513761467893,16.30733944954129,15.465137614678907,79.14678899082568,8.6,13.9,8.7,50.0,29.5,19.6,26.0,100.0,17.101388888888895,17.93263888888889,14.51944444444445,86.8125,10.2,15.4,8.6,53.0,27.4,20.6,25.8,100.0,17.38055555555554,17.440972222222218,15.181944444444449,87.67361111111111,9.3,14.4,7.5,46.0,28.7,20.6,28.4,100.0,15.690277777777778,16.62222222222222,13.251388888888892,90.1875,7.7,13.5,5.7,49.0,27.4,20.1,27.8,100.0,16.288888888888888,17.294444444444448,13.48194444444445,91.47916666666667,9.3,15.0,5.1,55.0,28.4,20.9,28.2,100.0,15.598611111111106,16.5875,12.689583333333331,89.95833333333333,8.2,13.9,1.8,52.0,27.7,20.3,26.7,100.0,16.127777777777776,17.654166666666658,14.74444444444444,81.11111111111111,9.4,15.1,9.4,44.0,25.7,19.6,24.9,100.0
2017-11-07,18.113761467889912,17.01192660550459,14.418348623853216,91.4954128440367,9.9,14.5,6.6,59.0,30.4,21.0,27.7,100.0,15.247222222222227,16.268055555555563,14.329861111111118,84.11111111111111,8.6,13.9,8.7,50.0,29.5,19.6,26.0,100.0,17.101388888888895,17.93263888888889,14.51944444444445,86.8125,10.2,15.4,8.6,53.0,27.4,20.6,25.8,100.0,17.38055555555554,17.440972222222218,15.181944444444449,87.67361111111111,9.3,14.4,7.5,46.0,28.7,20.6,28.4,100.0,15.690277777777778,16.62222222222222,13.251388888888892,90.1875,7.7,13.5,5.7,49.0,27.4,20.1,27.8,100.0,16.288888888888888,17.294444444444448,13.48194444444445,91.47916666666667,9.3,15.0,5.1,55.0,28.4,20.9,28.2,100.0,15.598611111111106,16.5875,12.689583333333331,89.95833333333333,8.2,13.9,1.8,52.0,27.7,20.3,26.7,100.0
2017-11-08,19.377981651376146,17.811926605504592,17.078899082568803,88.8440366972477,12.0,15.6,9.8,61.0,31.7,21.2,28.7,100.0,16.921527777777797,17.01527777777778,13.661805555555558,93.5625,9.9,14.5,6.6,59.0,30.4,21.0,27.7,100.0,15.247222222222227,16.268055555555563,14.329861111111118,84.11111111111111,8.6,13.9,8.7,50.0,29.5,19.6,26.0,100.0,17.101388888888895,17.93263888888889,14.51944444444445,86.8125,10.2,15.4,8.6,53.0,27.4,20.6,25.8,100.0,17.38055555555554,17.440972222222218,15.181944444444449,87.67361111111111,9.3,14.4,7.5,46.0,28.7,20.6,28.4,100.0,15.690277777777778,16.62222222222222,13.251388888888892,90.1875,7.7,13.5,5.7,49.0,27.4,20.1,27.8,100.0,16.288888888888888,17.294444444444448,13.48194444444445,91.47916666666667,9.3,15.0,5.1,55.0,28.4,20.9,28.2,100.0
2017-11-09,18.05596330275229,18.423853211009167,12.894495412844037,100.0,15.8,17.7,11.2,100.0,21.7,19.4,15.9,100.0,18.798611111111107,18.035416666666674,16.138194444444444,91.55555555555556,12.0,15.6,9.8,61.0,31.7,21.2,28.7,100.0,16.921527777777797,17.01527777777778,13.661805555555558,93.5625,9.9,14.5,6.6,59.0,30.4,21.0,27.7,100.0,15.247222222222227,16.268055555555563,14.329861111111118,84.11111111111111,8.6,13.9,8.7,50.0,29.5,19.6,26.0,100.0,17.101388888888895,17.93263888888889,14.51944444444445,86.8125,10.2,15.4,8.6,53.0,27.4,20.6,25.8,100.0,17.38055555555554,17.440972222222218,15.181944444444449,87.67361111111111,9.3,14.4,7.5,46.0,28.7,20.6,28.4,100.0,15.690277777777778,16.62222222222222,13.251388888888892,90.1875,7.7,13.5,5.7,49.0,27.4,20.1,27.8,100.0
2017-11-10,17.543119266055047,17.72018348623853,16.359633027522936,77.14678899082568,12.0,16.0,11.4,43.0,25.1,19.9,24.3,100.0,17.57013888888889,18.367361111111105,12.637500000000003,100.0,14.6,17.5,11.2,100.0,21.7,19.4,15.9,100.0,18.798611111111107,18.035416666666674,16.138194444444444,91.55555555555556,12.0,15.6,9.8,61.0,31.7,21.2,28.7,100.0,16.921527777777797,17.01527777777778,13.661805555555558,93.5625,9.9,14.5,6.6,59.0,30.4,21.0,27.7,100.0,15.247222222222227,16.268055555555563,14.329861111111118,84.11111111111111,8.6,13.9,8.7,50.0,29.5,19.6,26.0,100.0,17.101388888888895,17.93263888888889,14.51944444444445,86.8125,10.2,15.4,8.6,53.0,27.4,20.6,25.8,100.0,17.38055555555554,17.440972222222218,15.181944444444449,87.67361111111111,9.3,14.4,7.5,46.0,28.7,20.6,28.4,100.0
2017-11-11,16.028440366972475,16.323853211009176,13.300917431192653,91.18348623853211,8.8,14.3,3.2,62.0,26.7,19.2,23.8,100.0,16.0451388888889,17.312499999999996,15.20138888888889,79.43055555555556,9.8,15.1,9.9,43.0,25.1,19.9,24.3,100.0,17.57013888888889,18.367361111111105,12.637500000000003,100.0,14.6,17.5,11.2,100.0,21.7,19.4,15.9,100.0,18.798611111111107,18.035416666666674,16.138194444444444,91.55555555555556,12.0,15.6,9.8,61.0,31.7,21.2,28.7,100.0,16.921527777777797,17.01527777777778,13.661805555555558,93.5625,9.9,14.5,6.6,59.0,30.4,21.0,27.7,100.0,15.247222222222227,16.268055555555563,14.329861111111118,84.11111111111111,8.6,13.9,8.7,50.0,29.5,19.6,26.0,100.0,17.101388888888895,17.93263888888889,14.51944444444445,86.8125,10.2,15.4,8.6,53.0,27.4,20.6,25.8,100.0
2017-11-12,17.003669724770646,16.94678899082569,12.746788990825694,89.28440366972477,12.3,15.5,3.9,48.0,24.6,19.4,24.6,100.0,14.941666666666663,16.184027777777793,12.364583333333327,93.32638888888889,8.8,14.3,3.2,62.0,26.7,19.2,23.8,100.0,16.0451388888889,17.312499999999996,15.20138888888889,79.43055555555556,9.8,15.1,9.9,43.0,25.1,19.9,24.3,100.0,17.57013888888889,18.367361111111105,12.637500000000003,100.0,14.6,17.5,11.2,100.0,21.7,19.4,15.9,100.0,18.798611111111107,18.035416666666674,16.138194444444444,91.55555555555556,12.0,15.6,9.8,61.0,31.7,21.2,28.7,100.0,16.921527777777797,17.01527777777778,13.661805555555558,93.5625,9.9,14.5,6.6,59.0,30.4,21.0,27.7,100.0,15.247222222222227,16.268055555555563,14.329861111111118,84.11111111111111,8.6,13.9,8.7,50.0,29.5,19.6,26.0,100.0
2017-11-13,13.782568807339453,14.719266055045884,12.866055045871558,85.45871559633028,7.4,12.6,7.0,62.0,22.5,16.9,20.1,100.0,15.486111111111118,16.53472222222222,12.247222222222227,89.29166666666667,9.9,14.4,3.9,48.0,24.6,19.4,24.6,100.0,14.941666666666663,16.184027777777793,12.364583333333327,93.32638888888889,8.8,14.3,3.2,62.0,26.7,19.2,23.8,100.0,16.0451388888889,17.312499999999996,15.20138888888889,79.43055555555556,9.8,15.1,9.9,43.0,25.1,19.9,24.3,100.0,17.57013888888889,18.367361111111105,12.637500000000003,100.0,14.6,17.5,11.2,100.0,21.7,19.4,15.9,100.0,18.798611111111107,18.035416666666674,16.138194444444444,91.55555555555556,12.0,15.6,9.8,61.0,31.7,21.2,28.7,100.0,16.921527777777797,17.01527777777778,13.661805555555558,93.5625,9.9,14.5,6.6,59.0,30.4,21.0,27.7,100.0
2017-11-14,14.174311926605506,14.544036697247712,9.371559633027523,97.08256880733946,5.4,11.4,3.5,72.0,27.5,18.9,24.2,100.0,12.739583333333336,14.649305555555564,11.794444444444444,88.99305555555556,7.3,12.6,6.6,62.0,22.5,16.9,20.1,100.0,15.486111111111118,16.53472222222222,12.247222222222227,89.29166666666667,9.9,14.4,3.9,48.0,24.6,19.4,24.6,100.0,14.941666666666663,16.184027777777793,12.364583333333327,93.32638888888889,8.8,14.3,3.2,62.0,26.7,19.2,23.8,100.0,16.0451388888889,17.312499999999996,15.20138888888889,79.43055555555556,9.8,15.1,9.9,43.0,25.1,19.9,24.3,100.0,17.57013888888889,18.367361111111105,12.637500000000003,100.0,14.6,17.5,11.2,100.0,21.7,19.4,15.9,100.0,18.798611111111107,18.035416666666674,16.138194444444444,91.55555555555556,12.0,15.6,9.8,61.0,31.7,21.2,28.7,100.0
2017-11-15,14.218348623853217,15.407339449541292,10.615596330275228,100.0,10.0,14.0,7.8,100.0,19.6,16.7,15.9,100.0,14.031944444444445,14.89791666666667,9.409027777777775,97.79166666666667,5.4,11.4,3.5,72.0,27.5,18.9,24.2,100.0,12.739583333333336,14.649305555555564,11.794444444444444,88.99305555555556,7.3,12.6,6.6,62.0,22.5,16.9,20.1,100.0,15.486111111111118,16.53472222222222,12.247222222222227,89.29166666666667,9.9,14.4,3.9,48.0,24.6,19.4,24.6,100.0,14.941666666666663,16.184027777777793,12.364583333333327,93.32638888888889,8.8,14.3,3.2,62.0,26.7,19.2,23.8,100.0,16.0451388888889,17.312499999999996,15.20138888888889,79.43055555555556,9.8,15.1,9.9,43.0,25.1,19.9,24.3,100.0,17.57013888888889,18.367361111111105,12.637500000000003,100.0,14.6,17.5,11.2,100.0,21.7,19.4,15.9,100.0
2017-11-16,15.894495412844035,15.765137614678899,10.624770642201836,95.76146788990826,9.0,13.5,3.1,65.0,27.1,18.7,23.7,100.0,13.698611111111113,15.326388888888882,10.313888888888885,100.0,10.0,14.0,7.8,100.0,19.6,16.7,15.9,100.0,14.031944444444445,14.89791666666667,9.409027777777775,97.79166666666667,5.4,11.4,3.5,72.0,27.5,18.9,24.2,100.0,12.739583333333336,14.649305555555564,11.794444444444444,88.99305555555556,7.3,12.6,6.6,62.0,22.5,16.9,20.1,100.0,15.486111111111118,16.53472222222222,12.247222222222227,89.29166666666667,9.9,14.4,3.9,48.0,24.6,19.4,24.6,100.0,14.941666666666663,16.184027777777793,12.364583333333327,93.32638888888889,8.8,14.3,3.2,62.0,26.7,19.2,23.8,100.0,16.0451388888889,17.312499999999996,15.20138888888889,79.43055555555556,9.8,15.1,9.9,43.0,25.1,19.9,24.3,100.0
2017-11-17,12.398165137614685,14.2559633027523,11.06422018348624,84.8256880733945,7.2,12.6,5.3,53.0,22.2,16.2,20.8,100.0,14.745833333333337,15.671527777777783,10.131944444444446,96.79166666666667,9.0,13.5,3.1,65.0,27.1,18.7,23.7,100.0,13.698611111111113,15.326388888888882,10.313888888888885,100.0,10.0,14.0,7.8,100.0,19.6,16.7,15.9,100.0,14.031944444444445,14.89791666666667,9.409027777777775,97.79166666666667,5.4,11.4,3.5,72.0,27.5,18.9,24.2,100.0,12.739583333333336,14.649305555555564,11.794444444444444,88.99305555555556,7.3,12.6,6.6,62.0,22.5,16.9,20.1,100.0,15.486111111111118,16.53472222222222,12.247222222222227,89.29166666666667,9.9,14.4,3.9,48.0,24.6,19.4,24.6,100.0,14.941666666666663,16.184027777777793,12.364583333333327,93.32638888888889,8.8,14.3,3.2,62.0,26.7,19.2,23.8,100.0
2017-11-18,13.272477064220187,13.711009174311927,10.277981651376148,89.6788990825688,5.8,11.1,2.2,51.0,25.1,17.5,24.8,100.0,11.147916666666669,13.90555555555556,9.89236111111111,88.44444444444444,6.6,12.1,5.3,53.0,22.2,16.2,20.8,100.0,14.745833333333337,15.671527777777783,10.131944444444446,96.79166666666667,9.0,13.5,3.1,65.0,27.1,18.7,23.7,100.0,13.698611111111113,15.326388888888882,10.313888888888885,100.0,10.0,14.0,7.8,100.0,19.6,16.7,15.9,100.0,14.031944444444445,14.89791666666667,9.409027777777775,97.79166666666667,5.4,11.4,3.5,72.0,27.5,18.9,24.2,100.0,12.739583333333336,14.649305555555564,11.794444444444444,88.99305555555556,7.3,12.6,6.6,62.0,22.5,16.9,20.1,100.0,15.486111111111118,16.53472222222222,12.247222222222227,89.29166666666667,9.9,14.4,3.9,48.0,24.6,19.4,24.6,100.0
2017-11-19,11.386238532110095,13.165137614678905,7.875229357798164,100.0,10.0,12.0,6.7,100.0,13.8,13.7,10.4,100.0,12.455555555555556,13.759027777777781,9.602777777777774,92.1875,5.8,11.1,2.2,51.0,25.1,17.5,24.8,100.0,11.147916666666669,13.90555555555556,9.89236111111111,88.44444444444444,6.6,12.1,5.3,53.0,22.2,16.2,20.8,100.0,14.745833333333337,15.671527777777783,10.131944444444446,96.79166666666667,9.0,13.5,3.1,65.0,27.1,18.7,23.7,100.0,13.698611111111113,15.326388888888882,10.313888888888885,100.0,10.0,14.0,7.8,100.0,19.6,16.7,15.9,100.0,14.031944444444445,14.89791666666667,9.409027777777775,97.79166666666667,5.4,11.4,3.5,72.0,27.5,18.9,24.2,100.0,12.739583333333336,14.649305555555564,11.794444444444444,88.99305555555556,7.3,12.6,6.6,62.0,22.5,16.9,20.1,100.0
2017-11-20,12.52752293577982,12.125688073394494,10.732110091743117,90.08256880733946,5.7,8.1,4.6,67.0,23.9,17.8,20.1,100.0,11.003472222222225,12.711805555555562,7.772222222222222,100.0,8.4,10.3,6.7,100.0,13.8,13.7,10.4,100.0,12.455555555555556,13.759027777777781,9.602777777777774,92.1875,5.8,11.1,2.2,51.0,25.1,17.5,24.8,100.0,11.147916666666669,13.90555555555556,9.89236111111111,88.44444444444444,6.6,12.1,5.3,53.0,22.2,16.2,20.8,100.0,14.745833333333337,15.671527777777783,10.131944444444446,96.79166666666667,9.0,13.5,3.1,65.0,27.1,18.7,23.7,100.0,13.698611111111113,15.326388888888882,10.313888888888885,100.0,10.0,14.0,7.8,100.0,19.6,16.7,15.9,100.0,14.031944444444445,14.89791666666667,9.409027777777775,97.79166666666667,5.4,11.4,3.5,72.0,27.5,18.9,24.2,100.0
2017-11-21,11.00091743119266,11.052293577981652,9.752293577981652,94.97247706422019,5.2,7.3,4.9,75.0,23.5,17.6,19.9,100.0,11.29722222222222,11.470138888888885,9.85138888888889,91.77083333333333,5.7,8.1,4.6,67.0,23.9,17.8,20.1,100.0,11.003472222222225,12.711805555555562,7.772222222222222,100.0,8.4,10.3,6.7,100.0,13.8,13.7,10.4,100.0,12.455555555555556,13.759027777777781,9.602777777777774,92.1875,5.8,11.1,2.2,51.0,25.1,17.5,24.8,100.0,11.147916666666669,13.90555555555556,9.89236111111111,88.44444444444444,6.6,12.1,5.3,53.0,22.2,16.2,20.8,100.0,14.745833333333337,15.671527777777783,10.131944444444446,96.79166666666667,9.0,13.5,3.1,65.0,27.1,18.7,23.7,100.0,13.698611111111113,15.326388888888882,10.313888888888885,100.0,10.0,14.0,7.8,100.0,19.6,16.7,15.9,100.0
2017-11-22,12.555963302752295,11.738532110091741,10.793577981651376,87.35779816513761,4.7,6.9,4.0,58.0,24.8,18.5,20.7,100.0,10.379861111111111,10.80347222222222,9.156249999999998,96.19444444444444,5.2,7.3,4.9,75.0,23.5,17.6,19.9,100.0,11.29722222222222,11.470138888888885,9.85138888888889,91.77083333333333,5.7,8.1,4.6,67.0,23.9,17.8,20.1,100.0,11.003472222222225,12.711805555555562,7.772222222222222,100.0,8.4,10.3,6.7,100.0,13.8,13.7,10.4,100.0,12.455555555555556,13.759027777777781,9.602777777777774,92.1875,5.8,11.1,2.2,51.0,25.1,17.5,24.8,100.0,11.147916666666669,13.90555555555556,9.89236111111111,88.44444444444444,6.6,12.1,5.3,53.0,22.2,16.2,20.8,100.0,14.745833333333337,15.671527777777783,10.131944444444446,96.79166666666667,9.0,13.5,3.1,65.0,27.1,18.7,23.7,100.0
