< Measurement Data Text Output >,,,,,,,,,
,,,,,,,,,
Date/Time,@date(),ch.1,ch.2,ch.3,ch.4,ch.5,ch.6,ch.7,ch.8
,,°C,°C,,,,,,
05/12/2020 12:20'00,43963.51389,29.8,22.9,,,,,,
05/12/2020 12:40'00,43963.52778,30.6,22.9,,,,,,
05/12/2020 13:00'00,43963.54167,30.1,23,,,,,,
05/12/2020 13:20'00,43963.55556,29.4,22.9,,,,,,
05/12/2020 13:40'00,43963.56944,30.8,23,,,,,,
05/12/2020 14:00'00,43963.58333,30.5,23.1,,,,,,
05/12/2020 14:20'00,43963.59722,28.9,23.1,,,,,,
05/12/2020 14:40'00,43963.61111,30.4,23.2,,,,,,
05/12/2020 15:00'00,43963.625,29.8,23.3,,,,,,
05/12/2020 15:20'00,43963.63889,28.4,23.2,,,,,,
05/12/2020 15:40'00,43963.65278,29.4,23.3,,,,,,
05/12/2020 16:00'00,43963.66667,27.1,23.3,,,,,,
05/12/2020 16:20'00,43963.68056,25.3,23.2,,,,,,
05/12/2020 16:40'00,43963.69444,25,23.1,,,,,,
05/12/2020 17:00'00,43963.70833,23.9,23,,,,,,
05/12/2020 17:20'00,43963.72222,23.7,22.9,,,,,,
05/12/2020 17:40'00,43963.73611,22.9,22.8,,,,,,
05/12/2020 18:00'00,43963.75,22.6,22.7,,,,,,
05/12/2020 18:20'00,43963.76389,22.3,22.6,,,,,,
05/12/2020 18:40'00,43963.77778,21.9,22.5,,,,,,
05/12/2020 19:00'00,43963.79167,21.8,22.4,,,,,,
05/12/2020 19:20'00,43963.80556,21.5,22.3,,,,,,
05/12/2020 19:40'00,43963.81944,21.3,22.3,,,,,,
05/12/2020 20:00'00,43963.83333,21.2,22.2,,,,,,
05/12/2020 20:20'00,43963.84722,21.2,22.2,,,,,,
05/12/2020 20:40'00,43963.86111,21.1,22.1,,,,,,
05/12/2020 21:00'00,43963.875,20.5,22,,,,,,
05/12/2020 21:20'00,43963.88889,20,21.9,,,,,,
05/12/2020 21:40'00,43963.90278,20,21.8,,,,,,
05/12/2020 22:00'00,43963.91667,20,21.7,,,,,,
05/12/2020 22:20'00,43963.93056,19.8,21.7,,,,,,
05/12/2020 22:40'00,43963.94444,19.8,21.6,,,,,,
05/12/2020 23:00'00,43963.95833,19.5,21.5,,,,,,
05/12/2020 23:20'00,43963.97222,18.8,21.5,,,,,,
05/12/2020 23:40'00,43963.98611,18.5,21.4,,,,,,
05/13/2020 00:00'00,43964,18.1,21.2,,,,,,
05/13/2020 00:20'00,43964.01389,17.5,21.1,,,,,,
05/13/2020 00:40'00,43964.02778,17.4,21,,,,,,
05/13/2020 01:00'00,43964.04167,16.9,20.8,,,,,,
05/13/2020 01:20'00,43964.05556,16.9,20.7,,,,,,
05/13/2020 01:40'00,43964.06944,16.9,20.6,,,,,,
05/13/2020 02:00'00,43964.08333,16.6,20.5,,,,,,
05/13/2020 02:20'00,43964.09722,16.2,20.4,,,,,,
05/13/2020 02:40'00,43964.11111,16,20.3,,,,,,
05/13/2020 03:00'00,43964.125,15.7,20.2,,,,,,
05/13/2020 03:20'00,43964.13889,15.6,20.1,,,,,,
05/13/2020 03:40'00,43964.15278,15.7,20,,,,,,
05/13/2020 04:00'00,43964.16667,15.6,19.9,,,,,,
05/13/2020 04:20'00,43964.18056,15.1,19.8,,,,,,
05/13/2020 04:40'00,43964.19444,15.1,19.6,,,,,,
05/13/2020 05:00'00,43964.20833,15,19.5,,,,,,
05/13/2020 05:20'00,43964.22222,15.2,19.5,,,,,,
05/13/2020 05:40'00,43964.23611,16.2,19.4,,,,,,
05/13/2020 06:00'00,43964.25,18.1,19.4,,,,,,
05/13/2020 06:20'00,43964.26389,20.5,19.5,,,,,,
05/13/2020 06:40'00,43964.27778,21.3,19.6,,,,,,
05/13/2020 07:00'00,43964.29167,21.2,19.8,,,,,,
05/13/2020 07:20'00,43964.30556,20.5,19.8,,,,,,
05/13/2020 07:40'00,43964.31944,22,19.9,,,,,,
05/13/2020 08:00'00,43964.33333,22.9,20.1,,,,,,
05/13/2020 08:20'00,43964.34722,25.5,20.4,,,,,,
05/13/2020 08:40'00,43964.36111,26.2,20.7,,,,,,
05/13/2020 09:00'00,43964.375,28.3,21,,,,,,
05/13/2020 09:20'00,43964.38889,28.2,21.3,,,,,,
05/13/2020 09:40'00,43964.40278,28.9,21.6,,,,,,
05/13/2020 10:00'00,43964.41667,31.7,22,,,,,,
