date,disease,T20_mean,ST_mean,T60_mean,H_mean,T20_min,ST_min,T60_min,H_min,T20_max,ST_max,T60_max,H_max,housa
2017-05-14,0,21.715277777777786,22.23194444444445,22.46388888888889,81.5138888888889,14.7,17.3,14.8,46.0,31.5,28.2,33.1,100.0,3.076847889586871
2017-05-15,0,21.413888888888884,22.072222222222226,21.01666666666668,84.52777777777777,16.7,19.2,7.5,52.0,30.8,26.1,31.3,100.0,2.392579510360996
2017-05-16,0,19.39444444444445,20.122916666666672,19.469444444444434,65.95833333333333,14.3,16.8,11.8,30.0,28.6,25.4,32.8,100.0,4.861936196135181
2017-05-17,0,19.40555555555555,20.185416666666672,19.71597222222222,81.89583333333333,13.7,16.7,13.8,44.0,26.3,23.5,27.2,100.0,2.6187962679056365
2017-05-18,0,21.534722222222232,22.23541666666666,22.37638888888889,74.0763888888889,14.3,17.2,14.3,23.0,31.7,30.8,33.8,100.0,4.295696800971335
2017-05-19,0,22.51597222222221,22.675694444444453,22.53263888888889,78.27083333333333,14.6,18.0,14.6,21.0,33.8,31.3,35.6,100.0,3.6292185998535467
2017-05-20,0,23.346527777777766,22.840972222222234,23.448611111111113,70.7361111111111,14.4,18.0,14.3,27.0,33.0,30.8,35.0,100.0,5.118535704157986
2017-05-21,0,24.82569444444445,23.88402777777778,24.87013888888889,69.34027777777777,15.9,18.9,15.5,29.0,36.4,31.8,38.5,98.0,5.757531185380574
2017-05-22,0,23.690277777777766,23.684722222222234,23.92916666666666,74.2986111111111,16.8,19.9,16.7,34.0,32.3,29.8,34.3,100.0,4.605056079458954
2017-05-23,0,23.7375,23.538888888888877,23.33958333333333,77.02777777777777,16.4,19.6,8.2,33.0,32.6,30.1,35.0,100.0,3.996111781247951
2017-05-24,0,23.23125000000001,23.48472222222221,21.92638888888888,76.2986111111111,17.7,20.3,9.0,44.0,31.0,30.8,31.8,100.0,3.838901527050786
2017-05-25,0,21.40694444444445,21.82638888888889,21.543055555555554,90.25694444444444,19.7,19.7,19.8,71.0,26.2,24.2,26.5,100.0,1.5476265200943382
