H_mean_x,T20_min_x,T60_min_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,H_max_x,H_mean_y,T20_min_y,T60_min_y,H_min_y,T20_max_y,ST_max_y,T60_max_y,H_max_y,H_mean_z,T20_min_z,T60_min_z,H_min_z,T20_max_z,ST_max_z,T60_max_z,H_max_z,days
94.43819444444449,19.3,19.9,77.1,30.3,24.7,27.8,100.0,99.28472222222223,19.8,20.3,96.9,24.7,23.5,24.2,100.0,90.65555555555555,18.9,15.2,70.9,34.4,25.5,32.6,100.0,74.0
82.9055555555556,17.0,17.3,54.3,34.5,26.4,33.6,100.0,94.43819444444449,19.3,19.9,77.1,30.3,24.7,27.8,100.0,99.28472222222223,19.8,20.3,96.9,24.7,23.5,24.2,100.0,75.0
96.14027777777778,18.7,19.2,81.0,25.4,23.6,25.4,100.0,82.9055555555556,17.0,17.3,54.3,34.5,26.4,33.6,100.0,94.43819444444449,19.3,19.9,77.1,30.3,24.7,27.8,100.0,76.0
86.21666666666663,18.5,18.8,58.9,34.5,26.4,34.8,100.0,96.14027777777778,18.7,19.2,81.0,25.4,23.6,25.4,100.0,82.9055555555556,17.0,17.3,54.3,34.5,26.4,33.6,100.0,77.0
81.79930555555555,19.7,20.2,55.3,38.3,28.5,37.6,100.0,86.21666666666663,18.5,18.8,58.9,34.5,26.4,34.8,100.0,96.14027777777778,18.7,19.2,81.0,25.4,23.6,25.4,100.0,78.0
87.88680555555555,22.1,22.6,64.2,38.4,28.8,37.6,100.0,81.79930555555555,19.7,20.2,55.3,38.3,28.5,37.6,100.0,86.21666666666663,18.5,18.8,58.9,34.5,26.4,34.8,100.0,79.0
91.56527777777771,23.6,23.8,73.3,38.4,28.4,34.1,100.0,87.88680555555555,22.1,22.6,64.2,38.4,28.8,37.6,100.0,81.79930555555555,19.7,20.2,55.3,38.3,28.5,37.6,100.0,80.0
89.58263888888891,24.1,24.4,66.4,40.2,29.5,37.2,100.0,91.56527777777771,23.6,23.8,73.3,38.4,28.4,34.1,100.0,87.88680555555555,22.1,22.6,64.2,38.4,28.8,37.6,100.0,81.0
90.87430555555555,24.7,25.1,75.9,37.7,28.9,33.9,100.0,89.58263888888891,24.1,24.4,66.4,40.2,29.5,37.2,100.0,91.56527777777771,23.6,23.8,73.3,38.4,28.4,34.1,100.0,82.0
95.24722222222216,25.2,25.5,71.1,38.3,29.1,37.0,100.0,90.87430555555555,24.7,25.1,75.9,37.7,28.9,33.9,100.0,89.58263888888891,24.1,24.4,66.4,40.2,29.5,37.2,100.0,83.0
