T20_mean_x,H_mean_x,T20_min_x,H_min_x,T20_max_x,T60_max_x,H_max_x,housa_x,H_mean_y,T20_min_y,H_min_y,T20_max_y,ST_max_y,T60_max_y,H_max_y,housa_y,H_mean_z,T20_min_z,H_min_z,T20_max_z,ST_max_z,T60_max_z,H_max_z,housa_z,days
20.53819444,93.41111111,18.2,73.0,25.8,25.5,100.0,0.99831961152879,73.32986111,17.1,43.1,36.9,26.1,34.7,95.9,5.0275658965920265,86.81319444,18.9,68.0,29.3,24.2,28.8,100.0,2.3189976071029075,76.0
24.08958333,83.01458333,18.1,49.9,35.3,34.6,100.0,3.11388607559248,93.41111111,18.2,73.0,25.8,23.3,25.5,100.0,0.99831961152879,73.32986111,17.1,43.1,36.9,26.1,34.7,95.9,5.0275658965920265,77.0
27.42152778,74.28958333,19.7,47.0,37.8,36.8,98.0,5.459602805555671,83.01458333,18.1,49.9,35.3,25.9,34.6,100.0,3.11388607559248,93.41111111,18.2,73.0,25.8,23.3,25.5,100.0,0.99831961152879,78.0
27.01041667,83.98611111,21.8,59.6,35.7,36.4,98.4,3.335860449305869,74.28958333,19.7,47.0,37.8,27.8,36.8,98.0,5.459602805555671,83.01458333,18.1,49.9,35.3,25.9,34.6,100.0,3.11388607559248,79.0
27.39236111,86.09861111,23.5,61.8,35.1,35.2,98.3,2.9576742802314624,83.98611111,21.8,59.6,35.7,28.5,36.4,98.4,3.335860449305869,74.28958333,19.7,47.0,37.8,27.8,36.8,98.0,5.459602805555671,80.0
28.07083333,85.98541667,23.8,58.4,38.0,37.6,100.0,3.072787898967312,86.09861111,23.5,61.8,35.1,28.2,35.2,98.3,2.9576742802314624,83.98611111,21.8,59.6,35.7,28.5,36.4,98.4,3.335860449305869,81.0
27.66666667,88.62638889,24.6,68.7,33.3,33.6,100.0,2.4490006169212064,85.98541667,23.8,58.4,38.0,29.4,37.6,100.0,3.072787898967312,86.09861111,23.5,61.8,35.1,28.2,35.2,98.3,2.9576742802314624,82.0
28.04305556,89.45972222,25.0,64.7,35.6,35.9,100.0,2.311336379899462,88.62638889,24.6,68.7,33.3,28.5,33.6,100.0,2.4490006169212064,85.98541667,23.8,58.4,38.0,29.4,37.6,100.0,3.072787898967312,83.0
28.79236111,84.79861111,24.5,60.0,36.3,37.1,100.0,3.4698404382159302,89.45972222,25.0,64.7,35.6,28.8,35.9,100.0,2.311336379899462,88.62638889,24.6,68.7,33.3,28.5,33.6,100.0,2.4490006169212064,84.0
28.67083333,86.25694444,23.9,66.2,36.1,35.8,98.7,3.0609247021131982,84.79861111,24.5,60.0,36.3,30.4,37.1,100.0,3.4698404382159302,89.45972222,25.0,64.7,35.6,28.8,35.9,100.0,2.311336379899462,85.0
