date,disease,T20_mean_x,T60_mean_x,H_mean_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,housa_x,H_mean_y,H_min_y,T20_max_y,ST_max_y,T60_max_y,housa_y,H_mean_z,H_min_z,T20_max_z,T60_max_z,housa_z,days
2018-06-30,0,27.66666667,27.64791667,88.62638889,68.7,33.3,28.5,33.6,2.4490006169212064,85.98541667,58.4,38.0,29.4,37.6,3.072787898967312,86.09861111,61.8,35.1,35.2,2.9576742802314624,82.0
2018-07-01,0,28.04305556,28.02222222,89.45972222,64.7,35.6,28.8,35.9,2.311336379899462,88.62638889,68.7,33.3,28.5,33.6,2.4490006169212064,85.98541667,58.4,38.0,37.6,3.072787898967312,83.0
2018-07-02,0,28.79236111,28.84861111,84.79861111,60.0,36.3,30.4,37.1,3.4698404382159302,89.45972222,64.7,35.6,28.8,35.9,2.311336379899462,88.62638889,68.7,33.3,33.6,2.4490006169212064,84.0
2018-07-03,0,28.67083333,28.34236111,86.25694444,66.2,36.1,29.3,35.8,3.0609247021131982,84.79861111,60.0,36.3,30.4,37.1,3.4698404382159302,89.45972222,64.7,35.6,35.9,2.311336379899462,85.0
2018-07-04,0,28.42361111,28.17986111,85.6,66.9,35.6,29.1,34.3,3.1820225892739704,86.25694444,66.2,36.1,29.3,35.8,3.0609247021131982,84.79861111,60.0,36.3,37.1,3.4698404382159302,86.0
2018-07-05,0,26.57291667,26.46944444,92.58333333,81.6,30.2,27.3,29.6,1.5073994985912358,85.6,66.9,35.6,29.1,34.3,3.1820225892739704,86.25694444,66.2,36.1,35.8,3.0609247021131982,87.0
2018-07-06,0,25.68125,25.63958333,95.45,88.2,27.6,26.3,27.4,0.8876746671720519,92.58333333,81.6,30.2,27.3,29.6,1.5073994985912358,85.6,66.9,35.6,34.3,3.1820225892739704,88.0
2018-07-07,0,26.15,25.91597222,95.04652778,82.6,30.0,29.4,29.3,0.9796800191263232,95.45,88.2,27.6,26.3,27.4,0.8876746671720519,92.58333333,81.6,30.2,29.6,1.5073994985912358,89.0
2018-07-08,0,27.04652778,26.80833333,90.76597222,66.7,32.6,31.9,31.4,1.908275995839425,95.04652778,82.6,30.0,29.4,29.3,0.9796800191263232,95.45,88.2,27.6,27.4,0.8876746671720519,90.0
2018-07-09,0,28.77222222,28.43611111,85.44652778,60.6,37.6,29.2,35.4,3.2562088595245573,90.76597222,66.7,32.6,31.9,31.4,1.908275995839425,95.04652778,82.6,30.0,29.3,0.9796800191263232,91.0
2018-07-10,0,28.72916667,28.4375,83.87916667,62.7,39.4,29.5,36.0,3.6071349390177594,85.44652778,60.6,37.6,29.2,35.4,3.2562088595245573,90.76597222,66.7,32.6,31.4,1.908275995839425,92.0
2018-07-11,0,29.38472222,28.65486111,83.08611111,60.5,38.7,29.5,35.7,3.8246835683573,83.87916667,62.7,39.4,29.5,36.0,3.6071349390177594,85.44652778,60.6,37.6,35.4,3.2562088595245573,93.0
2018-07-12,0,29.25833333,28.72361111,82.70902778,60.0,37.0,30.1,35.4,3.9229949733698017,83.08611111,60.5,38.7,29.5,35.7,3.8246835683573,83.87916667,62.7,39.4,36.0,3.6071349390177594,94.0
2018-07-13,0,29.53055556,29.08819444,81.83472222,51.9,40.3,29.8,37.7,4.194679640548838,82.70902778,60.0,37.0,30.1,35.4,3.9229949733698017,83.08611111,60.5,38.7,35.7,3.8246835683573,95.0
2018-07-14,0,30.26388889,29.54930556,75.95972222,51.3,38.5,29.2,36.2,5.676164831279317,81.83472222,51.9,40.3,29.8,37.7,4.194679640548838,82.70902778,60.0,37.0,35.4,3.9229949733698017,96.0
2018-07-15,0,30.35972222,29.66527778,79.41875,55.6,38.9,30.0,36.2,4.886655421982172,75.95972222,51.3,38.5,29.2,36.2,5.676164831279317,81.83472222,51.9,40.3,37.7,4.194679640548838,97.0
2018-07-16,0,31.05138889,30.19513889,80.47083333,61.3,39.9,30.5,36.8,4.7563771529053245,79.41875,55.6,38.9,30.0,36.2,4.886655421982172,75.95972222,51.3,38.5,36.2,5.676164831279317,1.0
2018-07-17,0,30.30625,29.90347222,83.17430556,61.3,39.2,30.6,37.0,4.040978235606223,80.47083333,61.3,39.9,30.5,36.8,4.7563771529053245,79.41875,55.6,38.9,36.2,4.886655421982172,2.0
2018-07-18,0,30.47083333,30.06527778,86.36875,70.6,38.0,30.7,36.0,3.2993099750654373,83.17430556,61.3,39.2,30.6,37.0,4.040978235606223,80.47083333,61.3,39.9,36.8,4.7563771529053245,3.0
2018-07-19,0,31.49027778,30.86666667,83.69583333,65.0,38.9,31.1,36.9,4.10054559495299,86.36875,70.6,38.0,30.7,36.0,3.2993099750654373,83.17430556,61.3,39.2,37.0,4.040978235606223,4.0
