date,disease,T20_mean_x,ST_mean_x,T60_mean_x,ST_min_x,ST_max_x,T60_max_x
2017-07-03,0,30.983486238532105,28.193577981651373,30.430275229357804,24.8,32.6,40.0
2017-07-04,0,31.88073394495414,30.31192660550457,31.428440366972474,25.6,36.3,39.7
2017-07-05,0,30.18807339449541,28.525688073394495,29.17614678899084,26.2,32.6,35.9
2017-07-06,0,28.37247706422017,27.165137614678912,27.834862385321088,24.5,32.1,36.0
2017-08-02,0,31.25504587155965,28.803669724770646,29.97155963302753,26.5,31.7,35.0
2017-08-03,0,28.50091743119267,27.503669724770646,28.54036697247707,26.6,29.4,35.1
2017-08-04,0,30.17522935779817,27.16697247706421,28.760550458715592,25.0,30.1,36.3
2017-08-05,0,31.67064220183486,27.917431192660537,30.17155963302753,25.6,30.7,36.7
2017-08-06,0,30.694495412844034,28.2697247706422,29.508256880733942,26.7,30.5,36.1
2017-08-07,0,33.23669724770643,29.239449541284408,31.5211009174312,26.7,32.4,38.1
2017-08-08,0,28.550458715596328,28.097247706422035,28.67522935779817,27.5,29.3,31.8
2017-08-09,0,30.522018348623853,28.137614678899087,29.648623853211003,26.6,30.3,34.9
2017-08-10,0,32.39174311926605,28.003669724770656,31.122018348623854,25.5,31.0,37.3
2017-08-11,0,32.56422018348625,28.491743119266058,30.51651376146789,25.9,32.0,37.8
2017-08-12,1,30.68623853211009,28.729357798165136,29.816513761467892,26.2,31.0,35.6
2017-08-13,1,29.40091743119265,28.124770642201852,29.01834862385321,26.5,30.5,34.0
2017-08-14,1,30.280733944954118,27.74403669724771,28.95963302752293,25.3,30.4,35.3
2017-08-15,1,29.269724770642227,27.56422018348623,28.411009174311925,25.8,29.7,33.9
2017-08-16,1,27.58623853211009,27.04495412844037,27.29724770642202,25.8,28.5,30.9
2017-08-17,1,27.877981651376142,26.67247706422017,28.420183486238532,25.3,28.7,35.1
2017-08-18,1,30.154128440366982,27.803669724770646,29.134862385321107,25.9,30.5,34.9
2017-08-19,1,29.06055045871561,27.777064220183497,29.272477064220176,26.4,29.6,35.8
2017-08-20,1,31.448623853211004,28.52844036697247,30.078899082568807,26.1,31.3,36.0
2017-08-21,1,30.352293577981648,28.234862385321087,30.06330275229359,25.9,30.8,38.2
2017-08-22,1,30.711926605504576,28.488073394495412,29.578899082568807,26.5,31.1,35.5
2017-08-23,1,30.538532110091747,28.54587155963303,29.39908256880734,26.7,31.0,36.1
2017-08-24,1,30.48623853211009,28.185321100917424,29.963302752293572,26.2,30.6,35.8
2017-08-25,1,32.49724770642201,29.278899082568806,31.188990825688077,27.0,32.0,36.5
2017-08-26,1,31.78073394495413,29.22935779816513,30.6743119266055,27.1,31.8,36.0
2017-08-27,1,30.43211009174312,28.472477064220172,29.714678899082546,26.8,30.7,35.7
2017-08-28,1,28.93027522935779,26.805504587155966,27.61284403669725,24.1,29.6,33.0
2017-08-29,1,28.89908256880734,26.98440366972477,27.65963302752295,24.8,29.6,35.0
2017-08-30,1,30.78990825688075,28.085321100917426,29.996330275229365,26.2,30.5,35.4
2017-08-31,1,32.04862385321099,28.935779816513755,30.807339449541267,26.9,31.3,36.8
2017-09-01,1,29.488990825688077,27.702752293577966,28.3330275229358,26.1,30.0,34.4
2017-09-02,1,28.17247706422019,25.85321100917432,27.008256880733942,22.9,29.0,33.5
2017-09-03,1,27.755963302752296,25.636697247706426,26.779816513761467,23.4,28.4,32.8
2017-09-04,1,26.28532110091744,24.277981651376155,24.95321100917429,21.6,27.5,31.8
2017-09-05,0,25.560550458715593,24.30733944954129,24.701834862385322,22.3,26.4,29.0
2017-09-06,0,26.71926605504587,24.94311926605505,25.74311926605505,22.5,27.8,31.9
2017-09-07,0,25.82844036697248,25.122018348623858,26.12935779816513,24.0,26.9,29.9
2017-09-08,0,27.980733944954117,26.23853211009174,27.221100917431198,24.2,28.7,33.3
2017-09-09,0,28.987155963302754,26.422018348623862,28.13486238532111,24.7,28.8,34.5
2017-09-10,0,28.16330275229357,26.106422018348628,27.309174311926608,23.6,28.7,33.6
2017-09-11,0,27.8559633027523,25.95779816513761,26.877064220183506,23.8,29.2,33.3
2017-09-12,0,26.635779816513747,25.3697247706422,26.84220183486238,23.9,27.4,33.7
2017-09-13,0,26.00091743119265,25.665137614678887,26.177981651376147,24.9,26.8,28.8
2017-09-14,0,28.08256880733945,25.58348623853211,27.27339449541284,23.3,28.2,33.7
2017-09-15,0,26.51284403669724,24.31376146788989,26.205504587155968,22.2,26.8,33.1
2017-09-16,0,23.698165137614684,22.533027522935786,23.722935779816517,20.4,24.6,35.8
2017-09-17,0,20.32477064220184,21.686238532110085,13.53211009174312,21.3,22.1,21.3
2017-09-18,0,23.546788990825693,22.57155963302752,16.665137614678905,20.9,25.3,29.5
2017-09-19,0,28.07798165137614,25.159633027522933,27.44220183486238,23.2,27.7,34.8
2017-09-20,0,25.910091743119263,23.777064220183497,24.712844036697245,20.6,27.2,32.9
2017-09-21,0,24.15596330275229,23.54311926605504,23.29908256880734,22.0,25.5,29.5
2017-09-22,0,25.691743119266054,23.25871559633028,24.556880733944965,20.6,27.0,31.9
2017-09-23,0,21.637614678899077,21.933027522935767,21.421100917431183,20.0,23.3,26.2
2017-09-24,0,24.75504587155963,23.496330275229358,23.47981651376148,20.7,27.0,30.6
2017-09-25,0,24.995412844036693,23.580733944954147,23.627522935779808,21.9,25.4,29.1
2017-10-14,1,21.504587155963307,22.213761467889906,20.93577981651376,21.6,22.9,26.9
2017-10-15,1,20.67981651376148,21.546788990825686,19.439449541284407,21.1,22.1,23.6
2017-10-16,1,19.486238532110093,20.881651376146788,17.977981651376158,20.5,21.3,20.7
2017-10-17,1,18.122018348623854,19.529032258064507,13.025688073394502,19.2,19.9,16.6
2017-10-21,1,19.44862385321101,19.61009174311927,17.090825688073398,18.0,30.1,30.7
2017-10-22,1,19.251376146789,19.22385321100918,13.996330275229356,17.3,22.4,22.5
2017-10-23,1,18.934862385321093,19.548623853211012,12.861467889908258,19.2,20.1,15.2
2017-10-24,1,21.28165137614679,20.413761467889927,17.412844036697248,19.1,22.0,26.5
2017-10-25,1,17.219266055045885,18.05688073394497,10.643119266055043,17.0,19.5,15.7
2017-10-26,1,17.131192660550457,18.20642201834863,14.329357798165141,17.4,19.3,19.2
2017-10-27,1,18.393577981651376,17.642201834862387,14.47981651376147,14.7,21.6,28.2
2017-10-28,1,18.49449541284404,17.96788990825688,15.525688073394495,15.5,21.3,27.4
2017-10-29,1,16.900917431192664,18.06055045871561,15.617431192660547,17.4,18.8,19.5
2017-10-30,1,17.658715596330268,18.063302752293573,10.328440366972474,17.3,19.3,12.0
