date,disease,T20_mean_x,ST_mean_x,T60_mean_x,ST_min_x,T20_max_x,ST_max_x,T60_max_x,T20_mean_y,ST_mean_y,T60_mean_y,T20_max_y,ST_max_y,T60_max_y,T20_mean_z,ST_mean_z,T60_mean_z,ST_max_z,T60_max_z
2016/9/10,0,28.6961165,25.64466019,26.59029126,24.2,40.2,27.8,33.2,26.28333333,26.47638889,26.02013889,33.9,27.4,30.4,28.22222222,27.02152778,27.50208333,28.1,31.7
2016/9/11,0,28.05145631,24.92815534,25.71553398,23.1,40.7,27.2,32.6,27.26041667,25.58402778,25.83055556,40.2,27.8,33.2,26.28333333,26.47638889,26.02013889,27.4,30.4
2016/9/12,0,27.65825243,25.54174757,26.1592233,24.2,38.6,27.1,31.9,26.83055556,25.11111111,25.29513889,40.7,27.2,32.6,27.26041667,25.58402778,25.83055556,27.8,33.2
2016/9/13,0,27.6038835,25.82135922,26.35242718,25,40,26.9,30.2,26.73125,25.58333333,25.79236111,38.6,27.1,31.9,26.83055556,25.11111111,25.29513889,27.2,32.6
2016/9/14,0,27.15145631,25.59126214,26.0038835,24.6,33.5,26.7,29.2,26.90625,25.79652778,26.08888889,40,26.9,30.2,26.73125,25.58333333,25.79236111,27.1,31.9
2016/9/15,0,27.1631068,25.94466019,26.45339806,25.3,36.1,26.9,30.9,26.60416667,25.73680556,25.90972222,33.5,26.7,29.2,26.90625,25.79652778,26.08888889,26.9,30.2
2016/9/19,0,25.53883495,25.47961165,25.56504854,25.2,27.4,25.8,26.7,26.82361111,25.49236111,26.09027778,35,27.2,31.5,25.54861111,25.07986111,25.13055556,26.1,29.1
2016/9/20,0,27.98543689,25.82718447,26.80194175,24.3,37.5,28.1,33.5,25.30902778,25.46041667,25.42083333,27.4,25.8,26.7,26.82361111,25.49236111,26.09027778,27.2,31.5
2016/9/21,1,23.92524272,24.59514563,23.8961165,24.1,28.2,25.4,26.4,27.23333333,25.87847222,26.48680556,37.5,28.1,33.5,25.30902778,25.46041667,25.42083333,25.8,26.7
2016/9/22,1,24.35631068,23.74368932,23.76796117,21.4,32.2,25.2,28.5,23.45277778,24.41319444,23.56458333,28.2,25.4,26.4,27.23333333,25.87847222,26.48680556,28.1,33.5
2016/9/23,1,23.08834951,22.85825243,22.96407767,20.4,29.9,27.8,28.6,23.66875,23.19375,23.23055556,32.2,25.2,28.5,23.45277778,24.41319444,23.56458333,25.4,26.4
2016/9/24,1,24.10679612,23.70776699,23.71165049,23.2,30.2,24.5,27,22.84930556,23.00277778,22.86944444,29.9,27.8,28.6,23.66875,23.19375,23.23055556,25.2,28.5
2016/9/25,1,22.76601942,23.32038835,22.61165049,22.8,27.1,23.6,24.4,23.72222222,23.72013889,23.53541667,30.2,24.5,27,22.84930556,23.00277778,22.86944444,27.8,28.6
2016/9/26,1,25.73883495,23.1368932,23.84368932,21.5,36.6,25.5,29.5,22.18541667,23.13125,22.23125,27.1,23.6,24.4,23.72222222,23.72013889,23.53541667,24.5,27
2016/9/27,1,26.91941748,24.24854369,25.58543689,22.6,36.1,26.9,32.1,24.69722222,23.26458333,23.52152778,36.6,25.5,29.5,22.18541667,23.13125,22.23125,23.6,24.4
2016/9/28,1,28.14854369,25.4184466,26.87669903,23.5,39.2,34.2,35.4,26.05347222,24.41388889,25.24722222,36.1,26.9,32.1,24.69722222,23.26458333,23.52152778,25.5,29.5
2016/9/29,1,26.23106796,25.40485437,25.84660194,24.7,32.9,26.3,29.3,27.23541667,25.51527778,26.45763889,39.2,34.2,35.4,26.05347222,24.41388889,25.24722222,26.9,32.1
2016/9/30,1,27.33009709,25.57378641,26.4038835,24.4,36.8,27.4,33.6,25.74861111,25.33958333,25.54097222,32.9,26.3,29.3,27.23541667,25.51527778,26.45763889,34.2,35.4
2016/10/1,1,23.27087379,23.1,22.9815534,21.9,30.5,24.4,26.7,25.9625,25.17013889,25.43333333,36.8,27.4,33.6,25.74861111,25.33958333,25.54097222,26.3,29.3
2016/10/2,1,25.01067961,23.62718447,24.3407767,22.5,31.5,25.5,29.4,22.86805556,23.00833333,22.73472222,30.5,24.4,26.7,25.9625,25.17013889,25.43333333,27.4,33.6
2016/10/3,1,26.44174757,25.74660194,26.35728155,23.4,34.5,33.5,34.6,24.55694444,23.72222222,24.14861111,31.5,25.5,29.4,22.86805556,23.00833333,22.73472222,24.4,26.7
2016/10/4,1,24.69320388,24.32621359,24.4631068,23.2,28.8,27.5,27.7,25.77291667,25.2375,25.68055556,34.5,33.5,34.6,24.55694444,23.72222222,24.14861111,25.5,29.4
2016/10/5,1,26.72427184,24.35145631,25.41650485,22.7,38,27.2,32.1,23.79097222,24.07222222,23.74375,28.8,27.5,27.7,25.77291667,25.2375,25.68055556,33.5,34.6
2016/10/6,1,24.00679612,23.41067961,23.67669903,22.1,31.4,25,29.2,25.3125,24.25763889,24.55,38,27.2,32.1,23.79097222,24.07222222,23.74375,27.5,27.7
2016/10/7,1,27.3961165,24.50582524,25.60679612,22.6,41.6,35,34.2,24.07777778,23.61180556,23.86736111,31.4,25,29.2,25.3125,24.25763889,24.55,27.2,32.1
2016/10/8,1,24.30873786,22.52330097,22.81456311,20.7,38,25.4,29.3,25.30416667,23.97291667,24.24305556,41.6,35,34.2,24.07777778,23.61180556,23.86736111,25,29.2
