T60_mean_x,H_mean_x,T20_min_x,T60_min_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,H_max_x
18.202083333333327,85.45833333333333,12.8,13.3,34.0,30.2,21.3,31.5,99.0
18.546527777777776,83.0486111111111,12.8,13.3,33.0,30.7,22.1,32.7,99.0
18.721527777777794,85.7986111111111,12.9,13.5,37.0,31.0,21.4,33.0,99.0
15.095138888888883,98.28472222222223,13.3,13.7,92.0,21.0,18.4,20.2,99.0
18.390277777777776,87.83333333333331,13.1,13.5,41.0,29.7,21.4,30.4,99.0
18.548611111111093,83.93055555555556,13.1,13.6,34.0,30.4,21.9,30.2,99.0
16.932638888888892,96.22916666666669,13.3,13.8,79.0,26.0,20.0,24.5,99.0
18.009027777777774,84.2361111111111,12.9,13.5,36.0,30.2,21.5,28.4,99.0
17.967361111111103,90.02777777777777,12.8,13.4,45.0,28.9,20.8,27.3,99.0
16.44791666666667,98.77083333333331,13.4,13.8,96.0,23.3,19.2,21.6,99.0
18.58611111111111,83.75,13.0,13.6,35.0,30.5,21.7,28.5,99.0
18.80138888888888,84.97916666666667,12.9,13.6,41.0,32.8,21.8,29.0,99.0
18.76319444444444,85.0625,13.0,13.7,38.0,30.6,21.9,28.9,99.0
19.55416666666667,82.875,13.1,13.7,38.0,32.9,22.7,32.1,99.0
18.915972222222226,83.69444444444444,13.4,14.0,44.0,33.2,22.4,29.4,99.0
18.4763888888889,89.09027777777777,12.9,13.9,61.0,31.1,22.1,28.2,98.0
15.461111111111107,97.5625,13.4,13.7,89.0,24.0,18.9,21.6,99.0
19.00763888888891,80.375,13.2,13.7,30.0,31.9,22.0,30.9,99.0
19.218749999999982,82.5763888888889,13.0,13.8,35.0,32.2,22.5,30.1,99.0
19.086805555555546,87.95138888888891,13.0,13.7,47.0,32.4,22.1,30.7,99.0
15.72430555555556,98.07638888888887,13.3,13.9,92.0,21.7,19.3,20.4,99.0
17.80069444444445,85.3263888888889,13.1,13.7,40.0,30.3,20.7,26.9,99.0
17.780555555555555,84.29166666666667,12.9,13.5,30.0,31.4,20.7,28.6,99.0
19.185416666666672,81.38194444444444,12.9,13.5,41.0,35.8,21.9,31.9,97.0
18.721250000000005,83.1125,13.1,13.9,42.0,34.3,21.1,31.1,98.0
22.65069444444444,67.52777777777777,14.4,13.8,35.0,31.4,30.7,33.0,100.0
17.911805555555567,88.15972222222223,16.3,14.9,76.0,21.2,21.1,21.6,100.0
22.23680555555555,74.43055555555556,14.3,13.0,44.0,32.8,29.5,33.5,100.0
21.55694444444445,74.94444444444444,16.9,16.7,49.0,31.5,27.1,31.6,100.0
20.10416666666667,57.90277777777778,14.7,14.3,32.0,29.4,26.5,30.5,84.0
20.64166666666668,72.49305555555556,13.4,12.9,41.0,27.7,25.3,52.5,99.0
22.648611111111112,69.43055555555556,14.6,13.9,22.0,32.6,32.1,34.2,100.0
23.175,72.97916666666667,14.9,14.2,22.0,33.4,33.3,36.3,100.0
24.458333333333357,63.32638888888889,14.7,14.4,26.0,34.0,33.1,37.2,97.0
25.34930555555555,64.52083333333333,16.2,16.0,26.0,36.4,33.1,37.8,93.0
24.761805555555547,68.34722222222223,17.1,16.7,34.0,32.1,33.0,34.9,95.0
23.13642857142858,68.3125,16.7,4.5,30.0,33.0,33.8,36.1,100.0
23.000694444444452,70.6388888888889,17.8,10.7,40.0,32.4,32.2,33.3,100.0
21.64583333333334,84.31944444444444,19.7,19.5,61.0,27.8,25.4,28.7,97.0
21.875694444444427,84.9236111111111,16.6,16.5,54.0,30.4,29.2,31.1,100.0
23.60972222222223,51.09027777777778,15.2,15.0,26.0,33.5,28.5,33.8,91.0
23.97361111111111,56.40277777777778,13.5,13.4,26.0,34.5,29.0,36.2,100.0
24.27986111111112,64.0138888888889,14.7,14.3,31.0,33.5,29.6,35.9,97.0
25.49722222222221,65.4861111111111,16.2,16.0,31.0,34.8,30.1,36.6,98.0
22.844680851063824,78.7062937062937,20.9,2.4,49.0,32.3,27.4,33.8,100.0
22.178472222222233,78.3888888888889,19.7,6.0,40.0,34.7,28.2,36.1,100.0
22.72916666666667,59.71527777777778,15.9,14.5,24.0,32.4,27.8,35.5,100.0
