H_mean_x,T20_min_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,H_max_x,housa_x,H_mean_y,T20_min_y,H_min_y,T20_max_y,ST_max_y,T60_max_y,H_max_y,housa_y,H_mean_z,T20_min_z,H_min_z,T20_max_z,ST_max_z,T60_max_z,H_max_z,housa_z,days
75.97916667,18.0,39.7,33.4,26.6,35.9,96.0,4.444112022231996,68.44166667,17.3,33.7,34.9,27.6,39.3,93.3,6.297779365564254,70.14375,17.1,32.5,33.9,27.9,39.0,97.5,5.802182489321575,58.0
93.57777778,17.9,83.6,26.7,23.5,26.4,100.0,1.0067941780826941,75.97916667,18.0,39.7,33.4,26.6,35.9,96.0,4.444112022231996,68.44166667,17.3,33.7,34.9,27.6,39.3,93.3,6.297779365564254,59.0
85.01875,19.6,46.0,33.1,26.2,37.8,100.0,2.7362063623249657,93.57777778,17.9,83.6,26.7,23.5,26.4,100.0,1.0067941780826941,75.97916667,18.0,39.7,33.4,26.6,35.9,96.0,4.444112022231996,60.0
83.61527778,18.6,42.1,34.2,26.5,40.5,100.0,3.0751561812706494,85.01875,19.6,46.0,33.1,26.2,37.8,100.0,2.7362063623249657,93.57777778,17.9,83.6,26.7,23.5,26.4,100.0,1.0067941780826941,61.0
79.64166667,19.7,38.6,36.6,27.5,40.7,100.0,4.101542461759498,83.61527778,18.6,42.1,34.2,26.5,40.5,100.0,3.0751561812706494,85.01875,19.6,46.0,33.1,26.2,37.8,100.0,2.7362063623249657,62.0
84.43472222,19.4,64.3,31.0,24.9,29.4,96.3,2.718815648175501,79.64166667,19.7,38.6,36.6,27.5,40.7,100.0,4.101542461759498,83.61527778,18.6,42.1,34.2,26.5,40.5,100.0,3.0751561812706494,63.0
82.44861111,22.1,59.0,36.1,26.2,34.7,94.9,3.4320478187882997,84.43472222,19.4,64.3,31.0,24.9,29.4,96.3,2.718815648175501,79.64166667,19.7,38.6,36.6,27.5,40.7,100.0,4.101542461759498,64.0
71.05625,20.1,48.0,36.6,28.0,36.9,95.1,6.0151394173905715,82.44861111,22.1,59.0,36.1,26.2,34.7,94.9,3.4320478187882997,84.43472222,19.4,64.3,31.0,24.9,29.4,96.3,2.718815648175501,65.0
69.60069444,18.2,47.7,35.5,25.8,33.6,89.1,5.485551172791852,71.05625,20.1,48.0,36.6,28.0,36.9,95.1,6.0151394173905715,82.44861111,22.1,59.0,36.1,26.2,34.7,94.9,3.4320478187882997,66.0
76.89583333,16.7,47.0,33.5,25.8,33.5,93.1,4.235471602703991,69.60069444,18.2,47.7,35.5,25.8,33.6,89.1,5.485551172791852,71.05625,20.1,48.0,36.6,28.0,36.9,95.1,6.0151394173905715,67.0
