H_mean_x,T60_min_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,H_max_x
81.1467889908257,7.9,45.0,26.9,18.0,22.8,100.0
84.1559633027523,9.3,52.0,28.2,19.1,25.1,100.0
84.10091743119266,9.3,54.0,24.4,17.4,20.1,100.0
95.42201834862385,11.6,72.0,22.3,17.5,20.2,100.0
83.09174311926606,9.2,51.0,26.5,18.3,22.8,100.0
84.09174311926606,9.0,49.0,26.5,18.0,21.4,100.0
87.44036697247705,8.5,55.0,24.7,17.7,22.0,100.0
88.43119266055047,9.9,59.0,27.1,17.8,23.0,100.0
99.31192660550457,13.9,92.0,22.8,17.5,20.6,100.0
92.40366972477064,12.8,70.0,27.3,19.2,23.8,100.0
95.77981651376149,13.4,77.0,21.8,17.9,20.2,100.0
91.62385321100918,14.7,62.0,26.0,19.5,23.6,100.0
91.11009174311928,13.3,58.0,21.9,17.7,19.9,100.0
97.9816513761468,10.5,73.0,24.6,17.4,21.9,100.0
86.8256880733945,6.7,57.0,22.0,15.6,18.2,100.0
79.6697247706422,10.6,48.0,23.7,16.4,20.7,100.0
95.07339449541284,14.4,77.0,25.0,17.3,21.7,100.0
88.35779816513761,14.1,62.0,24.0,17.6,21.7,100.0
81.34862385321101,13.7,56.0,23.9,17.9,21.9,93.0
86.23853211009174,13.5,61.0,21.2,16.6,19.2,98.0
92.45871559633028,13.4,69.0,23.3,16.8,20.2,100.0
83.22935779816514,13.4,49.0,21.0,16.9,19.7,100.0
78.0091743119266,13.1,50.0,24.1,17.3,20.9,93.0
84.83486238532109,13.0,67.0,24.8,17.8,21.6,97.0
88.25688073394495,13.8,57.0,22.9,17.8,21.0,100.0
84.79816513761467,13.5,52.0,23.6,17.4,21.8,99.0
76.97247706422019,13.5,48.0,22.6,17.0,20.8,90.0
74.25688073394495,13.1,48.0,21.7,16.8,19.0,90.0
80.0183486238532,12.8,56.0,22.7,16.8,20.1,95.0
79.37614678899081,13.6,50.0,22.0,17.0,19.8,94.0
75.5137614678899,13.5,55.0,21.9,16.9,20.3,88.0
76.59633027522936,13.4,60.0,21.6,16.7,19.2,89.0
88.12844036697248,13.3,82.0,17.8,16.0,16.9,97.0
81.42201834862385,13.2,51.0,22.3,16.6,19.4,100.0
73.61467889908256,12.9,48.0,19.0,16.0,17.7,87.0
78.13761467889908,13.2,49.0,21.0,16.5,19.1,97.0
75.60550458715595,12.5,54.0,21.7,16.2,19.3,87.0
78.44954128440367,12.9,59.0,23.8,17.5,21.8,88.0
81.0,13.5,59.0,24.2,17.4,22.2,95.0
84.89908256880734,13.1,75.0,20.5,17.0,19.3,91.0
78.59633027522936,12.8,57.0,24.0,17.5,21.9,91.0
91.70642201834862,13.5,85.0,20.2,16.5,18.8,100.0
90.8440366972477,14.0,63.0,20.4,17.1,18.8,100.0
78.06422018348623,13.9,53.0,22.6,17.5,20.9,87.0
76.96330275229356,13.7,51.0,21.5,17.2,19.7,87.0
79.40366972477064,12.7,62.0,22.8,17.5,20.9,90.0
91.95412844036696,13.5,80.0,23.6,17.8,21.6,100.0
79.4862385321101,13.6,64.0,27.8,19.3,25.8,85.0
81.35779816513761,13.4,65.0,28.8,19.4,26.5,89.0
80.86238532110092,13.3,73.0,29.0,19.0,26.9,87.0
79.3302752293578,13.3,67.0,29.6,19.6,27.2,88.0
79.21100917431194,13.3,64.0,28.4,19.4,25.6,88.0
78.5137614678899,13.1,51.0,29.9,19.8,27.0,90.0
85.04587155963304,13.7,58.0,29.5,19.2,27.2,93.0
81.41284403669725,13.4,66.0,26.5,19.3,24.8,90.0
80.4770642201835,14.0,56.0,27.8,19.1,26.1,87.0
82.1559633027523,12.8,74.0,21.0,17.6,19.7,90.0
79.88990825688073,12.6,49.0,30.6,20.1,28.5,94.0
86.33944954128441,13.2,80.0,15.3,16.1,15.2,91.0
83.6697247706422,13.7,70.0,26.4,19.1,24.8,90.0
99.33944954128441,11.5,89.0,21.3,15.1,19.4,100.0
91.18348623853213,10.9,62.0,24.7,17.1,22.7,100.0
91.70642201834862,10.9,65.0,26.7,16.4,21.9,100.0
89.29357798165138,10.7,55.0,29.5,18.0,25.4,100.0
89.29357798165138,10.9,60.0,31.1,18.8,27.4,100.0
95.42201834862385,12.4,66.0,26.7,17.3,23.3,100.0
96.42201834862385,11.6,73.0,30.9,16.8,25.5,100.0
88.0550458715596,11.4,56.0,28.8,18.7,27.1,100.0
93.79816513761469,11.3,67.0,30.7,18.0,24.1,100.0
91.19266055045871,11.4,52.0,27.9,18.3,27.5,100.0
89.8073394495413,10.4,64.0,30.6,21.9,25.9,100.0
88.24770642201834,10.6,62.0,31.6,22.1,25.8,100.0
89.1743119266055,10.8,60.0,31.2,23.8,26.9,100.0
93.87155963302752,11.1,64.0,29.9,20.3,25.4,100.0
87.78899082568806,11.5,54.0,31.2,21.0,27.0,100.0
94.55963302752292,11.2,66.0,30.1,20.8,25.4,100.0
96.38532110091744,12.7,66.0,27.9,20.6,24.9,100.0
88.09174311926607,10.4,61.0,31.3,21.5,26.7,100.0
91.65137614678899,10.8,65.0,28.7,19.1,23.5,100.0
87.85321100917429,10.9,60.0,30.1,19.3,24.9,100.0
86.7247706422018,11.6,52.0,30.4,19.3,27.9,100.0
