date,disease,T20_mean_x,ST_mean_x,T60_mean_x,H_mean_x,H_min_x,ST_max_x,T60_max_x,housa_x,T20_mean_y,T60_mean_y,H_mean_y,H_min_y,ST_max_y,T60_max_y,housa_y,T20_mean_z,H_mean_z,H_min_z,T60_max_z,housa_z
2018-06-08,0,23.859027777777786,23.896527777777766,21.77847222222222,87.66736111111109,51.0,25.8,34.5,1.982561100621319,21.291666666666664,20.286111111111094,96.96319444444441,90.4,24.1,26.4,0.4523560080112348,24.540277777777792,80.25069444444442,43.8,35.4,3.640576995599537
2018-06-09,0,24.19374999999999,24.27083333333334,24.492361111111087,84.33611111111105,53.9,26.3,35.4,2.8866736170808456,23.859027777777786,21.77847222222222,87.66736111111109,51.0,25.8,34.5,1.982561100621319,21.291666666666664,96.96319444444441,90.4,26.4,0.4523560080112348
2018-06-10,0,26.159722222222232,25.14583333333333,25.565972222222232,83.33680555555559,48.1,27.4,35.8,3.2390591244725595,24.19374999999999,24.492361111111087,84.33611111111105,53.9,26.3,35.4,2.8866736170808456,23.859027777777786,87.66736111111109,51.0,34.5,1.982561100621319
2018-06-11,0,23.972916666666652,24.23055555555554,23.65069444444445,86.81875000000008,68.9,25.2,29.5,2.329030360651243,26.159722222222232,25.565972222222232,83.33680555555559,48.1,27.4,35.8,3.2390591244725595,24.19374999999999,84.33611111111105,53.9,35.4,2.8866736170808456
2018-06-12,0,26.19236111111111,24.73333333333334,25.55277777777779,83.74652777777777,62.7,26.3,33.8,3.1573530631477227,23.972916666666652,23.65069444444445,86.81875000000008,68.9,25.2,29.5,2.329030360651243,26.159722222222232,83.33680555555559,48.1,35.8,3.2390591244725595
2018-06-13,0,26.81666666666668,25.46736111111111,26.68263888888889,71.96666666666665,47.9,27.6,36.9,5.757645918468446,26.19236111111111,25.55277777777779,83.74652777777777,62.7,26.3,33.8,3.1573530631477227,23.972916666666652,86.81875000000008,68.9,29.5,2.329030360651243
2018-06-14,0,24.729861111111113,24.34375000000001,24.284722222222207,71.2708333333334,46.3,26.0,34.2,5.2398818353148755,26.81666666666668,26.68263888888889,71.96666666666665,47.9,27.6,36.9,5.757645918468446,26.19236111111111,83.74652777777777,62.7,33.8,3.1573530631477227
2018-06-15,0,24.445138888888913,24.07986111111111,24.568055555555574,77.14097222222225,52.5,26.1,33.8,4.2285801144638295,24.729861111111113,24.284722222222207,71.2708333333334,46.3,26.0,34.2,5.2398818353148755,26.81666666666668,71.96666666666665,47.9,36.9,5.757645918468446
2018-06-16,0,22.684027777777786,23.94374999999999,22.727083333333344,89.90555555555555,75.1,24.7,27.0,1.7026214568747966,24.445138888888913,24.568055555555574,77.14097222222225,52.5,26.1,33.8,4.2285801144638295,24.729861111111113,71.2708333333334,46.3,34.2,5.2398818353148755
2018-06-17,0,22.488194444444442,23.168055555555554,22.39861111111113,81.80624999999998,59.1,24.8,29.8,3.018204562665509,22.684027777777786,22.727083333333344,89.90555555555555,75.1,24.7,27.0,1.7026214568747966,24.445138888888913,77.14097222222225,52.5,33.8,4.2285801144638295
2018-06-18,0,24.36111111111111,23.79375000000001,24.41527777777778,77.32638888888884,51.4,26.1,34.7,4.162450775408582,22.488194444444442,22.39861111111113,81.80624999999998,59.1,24.8,29.8,3.018204562665509,22.684027777777786,89.90555555555555,75.1,27.0,1.7026214568747966
2018-06-19,0,22.097916666666666,23.27986111111112,21.99791666666666,87.80833333333334,71.1,24.5,29.1,1.9818589330248841,24.36111111111111,24.41527777777778,77.32638888888884,51.4,26.1,34.7,4.162450775408582,22.488194444444442,81.80624999999998,59.1,29.8,3.018204562665509
2018-06-20,0,23.94444444444445,23.679861111111112,23.511805555555547,90.65555555555555,70.9,25.5,32.6,1.6396279527477042,22.097916666666666,21.99791666666666,87.80833333333334,71.1,24.5,29.1,1.9818589330248841,24.36111111111111,77.32638888888884,51.4,34.7,4.162450775408582
2018-06-21,0,21.94027777777779,23.11527777777782,22.067361111111122,99.28472222222223,96.9,23.5,24.2,0.11668477735273006,23.94444444444445,23.511805555555547,90.65555555555555,70.9,25.5,32.6,1.6396279527477042,22.097916666666666,87.80833333333334,71.1,29.1,1.9818589330248841
2018-06-22,0,23.93958333333333,23.650694444444426,23.32708333333333,94.43819444444449,77.1,24.7,27.8,0.9668910599961152,21.94027777777779,22.067361111111122,99.28472222222223,96.9,23.5,24.2,0.11668477735273006,23.94444444444445,90.65555555555555,70.9,32.6,1.6396279527477042
2018-06-23,0,25.60625000000001,24.036805555555553,24.738888888888912,82.9055555555556,54.3,26.4,33.6,3.1892387271362086,23.93958333333333,23.32708333333333,94.43819444444449,77.1,24.7,27.8,0.9668910599961152,21.94027777777779,99.28472222222223,96.9,24.2,0.11668477735273006
2018-06-24,0,20.96111111111111,22.697222222222237,21.140972222222224,96.14027777777778,81.0,23.6,25.4,0.6006568920829016,25.60625000000001,24.738888888888912,82.9055555555556,54.3,26.4,33.6,3.1892387271362086,23.93958333333333,94.43819444444449,77.1,27.8,0.9668910599961152
2018-06-25,0,24.63125,23.89305555555556,24.84513888888888,86.21666666666663,58.9,26.4,34.8,2.5851297299732074,20.96111111111111,21.140972222222224,96.14027777777778,81.0,23.6,25.4,0.6006568920829016,25.60625000000001,82.9055555555556,54.3,33.6,3.1892387271362086
2018-06-26,0,27.705555555555573,25.586111111111112,27.196527777777792,81.79930555555555,55.3,28.5,37.6,3.8335366466778367,24.63125,24.84513888888888,86.21666666666663,58.9,26.4,34.8,2.5851297299732074,20.96111111111111,96.14027777777778,81.0,25.4,0.6006568920829016
2018-06-27,0,27.91041666666667,26.446527777777767,27.415277777777785,87.88680555555555,64.2,28.8,37.6,2.578790877255108,27.705555555555573,27.196527777777792,81.79930555555555,55.3,28.5,37.6,3.8335366466778367,24.63125,86.21666666666663,58.9,34.8,2.5851297299732074
2018-06-28,0,28.18888888888889,26.60972222222221,27.15625,91.56527777777771,73.3,28.4,34.1,1.7730715850752747,27.91041666666667,27.415277777777785,87.88680555555555,64.2,28.8,37.6,2.578790877255108,27.705555555555573,81.79930555555555,55.3,37.6,3.8335366466778367
