date,disease,T20_mean_x,H_min_x,H_mean_y,H_max_y,H_max_z,H_mean_a,H_max_a,T20_mean_b,ST_min_b,H_max_b
2019-01-17,0,19.49357798165137,60.4,95.68750000000004,100.0,100.0,88.10555555555555,100.0,14.781944444444447,12.6,100.0
2019-01-18,0,18.49449541284404,49.5,91.86527777777776,100.0,100.0,88.34166666666665,100.0,18.63125,15.7,100.0
2019-01-19,1,19.19266055045871,56.6,91.3048611111111,100.0,100.0,95.68750000000004,100.0,18.527777777777786,16.0,100.0
2019-01-20,1,19.85321100917432,55.6,89.70833333333336,100.0,100.0,91.86527777777776,100.0,16.13125,16.5,100.0
2019-01-21,1,15.759633027522936,71.1,87.49236111111111,99.8,100.0,91.3048611111111,100.0,18.165972222222226,12.4,100.0
2019-01-22,1,19.043119266055047,50.4,94.38125,100.0,99.8,89.70833333333336,100.0,17.438888888888897,16.4,100.0
2019-01-23,1,17.653211009174303,62.3,88.92083333333332,99.3,100.0,87.49236111111111,99.8,17.952777777777776,13.9,100.0
2019-01-24,1,20.12385321100917,51.1,92.5527777777778,100.0,99.3,94.38125,100.0,18.511111111111113,16.2,99.8
2019-01-25,1,20.25871559633027,43.1,88.0083333333333,100.0,100.0,88.92083333333332,99.3,15.292361111111116,16.6,100.0
2019-01-26,1,18.614678899082566,45.6,88.18888888888884,100.0,100.0,92.5527777777778,100.0,17.813194444444445,15.0,99.3
2019-01-27,1,18.817431192660546,49.7,89.86597222222224,99.4,100.0,88.0083333333333,100.0,16.668749999999992,16.3,100.0
2019-01-28,1,20.09082568807339,45.0,89.09236111111113,99.8,99.4,88.18888888888884,100.0,18.654166666666654,15.3,100.0
2019-01-29,1,16.101834862385324,83.0,85.34652777777781,98.6,99.8,89.86597222222224,99.4,18.804861111111105,16.5,100.0
2019-01-30,1,19.91926605504587,47.5,93.57638888888893,100.0,98.6,89.09236111111113,99.8,17.357638888888882,15.6,99.4
2019-01-31,1,18.11100917431192,50.3,88.42916666666666,99.9,100.0,85.34652777777781,98.6,17.524305555555557,16.4,99.8
2019-02-01,1,13.711009174311931,90.8,91.67430555555552,100.0,99.9,93.57638888888893,100.0,18.684722222222227,15.9,98.6
2019-02-02,1,19.090825688073394,52.2,99.08194444444445,100.0,100.0,88.42916666666666,99.9,15.554166666666667,13.6,100.0
2019-02-03,1,19.588073394495414,51.5,89.13472222222224,99.2,100.0,91.67430555555552,100.0,18.434027777777764,15.9,99.9
2019-02-04,1,17.977064220183486,66.9,89.46805555555551,100.0,99.2,99.08194444444445,100.0,16.909722222222214,13.8,100.0
2019-02-05,1,19.921100917431193,42.6,93.91597222222224,100.0,100.0,89.13472222222224,99.2,13.435416666666672,15.7,100.0
2019-02-06,1,19.45779816513762,43.3,92.47638888888893,100.0,100.0,89.46805555555551,100.0,17.730555555555547,15.2,99.2
2019-02-07,1,15.384403669724765,70.4,90.45555555555555,100.0,100.0,93.91597222222224,100.0,18.34930555555556,10.2,100.0
2019-02-08,1,18.90642201834862,65.1,97.62777777777781,100.0,100.0,92.47638888888893,100.0,17.25208333333334,15.9,100.0
2019-02-09,1,16.80825688073395,80.9,93.70555555555558,100.0,100.0,90.45555555555555,100.0,18.710416666666664,15.3,100.0
2019-02-10,1,13.707339449541292,93.3,96.11319444444445,100.0,100.0,97.62777777777781,100.0,18.165277777777774,16.5,100.0
2019-02-11,1,17.977064220183486,68.0,99.26736111111107,100.0,100.0,93.70555555555558,100.0,14.940277777777775,16.0,100.0
2019-02-12,1,14.986238532110093,84.1,92.90486111111113,99.5,100.0,96.11319444444445,100.0,18.339583333333326,15.0,100.0
2019-02-13,1,19.26055045871561,51.6,96.22361111111107,100.0,99.5,99.26736111111107,100.0,15.834027777777779,16.8,100.0
2019-02-14,1,19.437614678899077,43.7,89.04999999999998,99.6,100.0,92.90486111111113,99.5,13.431944444444447,15.9,100.0
2019-02-15,1,17.345871559633032,78.5,89.43194444444444,100.0,99.6,96.22361111111107,100.0,16.821527777777778,15.4,99.5
2019-02-16,1,14.32201834862385,79.7,93.675,100.0,100.0,89.04999999999998,99.6,14.452083333333333,15.9,100.0
2019-02-17,1,18.350458715596336,57.2,96.51111111111112,100.0,100.0,89.43194444444444,100.0,17.952777777777776,11.3,99.6
2019-02-18,1,20.003669724770642,43.1,92.14305555555552,100.0,100.0,93.675,100.0,18.175694444444442,15.9,100.0
2019-02-19,1,19.3816513761468,48.0,87.59444444444445,99.9,100.0,96.51111111111112,100.0,16.275694444444447,14.7,100.0
2019-02-20,1,14.847706422018346,95.7,87.32916666666664,100.0,99.9,92.14305555555552,100.0,13.93125,15.7,100.0
2019-02-21,1,19.656880733944963,46.8,99.36458333333334,100.0,100.0,87.59444444444445,99.9,17.34097222222222,12.6,100.0
2019-02-22,1,19.97614678899082,48.5,92.19444444444436,100.0,100.0,87.32916666666664,100.0,18.636805555555554,15.9,99.9
2019-02-23,1,19.055045871559628,52.4,85.97013888888893,99.8,100.0,99.36458333333334,100.0,18.15694444444445,13.1,100.0
2019-02-24,1,20.751376146788992,42.3,88.33263888888888,99.7,99.8,92.19444444444436,100.0,14.656249999999993,16.4,100.0
2019-02-25,1,19.89174311926605,58.1,88.53819444444444,100.0,99.7,85.97013888888893,99.8,18.78402777777777,15.1,100.0
2019-02-26,1,21.792660550458717,41.3,90.89236111111107,100.0,100.0,88.33263888888888,99.7,18.796527777777765,16.6,99.8
2019-02-27,1,22.22660550458716,41.3,87.59097222222219,100.0,100.0,88.53819444444444,100.0,18.28125,15.1,99.7
2019-02-28,1,19.569724770642207,63.7,84.73124999999997,100.0,100.0,90.89236111111107,100.0,19.60208333333333,16.8,100.0
2019-03-01,1,16.06146788990825,99.0,93.22222222222223,100.0,100.0,87.59097222222219,100.0,19.15972222222224,16.9,100.0
2019-03-02,1,21.566055045871558,42.6,99.95763888888888,100.0,100.0,84.73124999999997,100.0,20.734722222222235,17.5,100.0
2019-03-03,1,20.26055045871561,42.1,85.28263888888887,100.0,100.0,93.22222222222223,100.0,20.915277777777774,16.0,100.0
2019-03-04,1,16.88440366972477,85.0,84.69166666666666,100.0,100.0,99.95763888888888,100.0,19.025694444444454,17.5,100.0
2019-03-05,1,17.6697247706422,51.2,97.34375,100.0,100.0,85.28263888888887,100.0,15.754861111111104,17.7,100.0
2016-11-21,1,17.889908256880734,74.0,99.0,99.0,99.0,87.45833333333331,99.0,13.025000000000002,14.1,99.0
2016-11-22,1,16.472477064220186,93.0,94.5,99.0,99.0,94.08333333333331,99.0,12.43125,13.1,99.0
2016-11-23,1,17.724770642201836,63.0,98.50694444444444,99.0,99.0,99.0,99.0,15.334722222222226,13.8,99.0
2016-11-24,1,14.12293577981651,56.0,92.02777777777777,99.0,99.0,94.5,99.0,15.674305555555556,15.1,99.0
2016-11-25,1,12.721100917431194,75.0,89.50694444444444,99.0,99.0,98.50694444444444,99.0,17.29583333333333,15.6,99.0
2016-11-26,1,11.782568807339445,62.0,98.20833333333331,99.0,99.0,92.02777777777777,99.0,16.39027777777777,16.1,99.0
2016-11-27,1,14.881651376146786,75.0,92.59722222222223,99.0,99.0,89.50694444444444,99.0,16.564583333333335,16.2,99.0
2016-11-28,1,16.441284403669727,94.0,93.65972222222223,99.0,99.0,98.20833333333331,99.0,13.303472222222226,14.7,99.0
2016-11-29,1,14.824770642201836,65.0,98.65277777777777,99.0,99.0,92.59722222222223,99.0,11.724305555555553,13.6,99.0
2016-11-30,1,14.773394495412846,54.0,90.56944444444444,99.0,99.0,93.65972222222223,99.0,11.676388888888884,12.3,99.0
2016-12-01,1,15.244954128440366,76.0,88.22222222222223,99.0,99.0,98.65277777777777,99.0,14.766666666666666,13.6,99.0
2016-12-02,1,15.896330275229356,82.0,94.96527777777777,99.0,99.0,90.56944444444444,99.0,15.963888888888883,15.2,99.0
2016-12-03,1,13.722018348623855,46.0,97.09722222222223,99.0,99.0,88.22222222222223,99.0,14.422916666666667,14.9,99.0
2016-12-04,1,15.819266055045881,65.0,85.3888888888889,99.0,99.0,94.96527777777777,99.0,14.365277777777774,14.6,99.0
2016-12-05,1,16.640366972477068,82.0,92.26388888888887,99.0,99.0,97.09722222222223,99.0,14.67708333333333,14.5,99.0
2016-12-06,1,15.547706422018347,59.0,96.19444444444444,99.0,99.0,85.3888888888889,99.0,15.336805555555555,14.9,99.0
2016-12-07,1,14.451376146788993,60.0,91.22222222222223,99.0,99.0,92.26388888888887,99.0,13.607638888888893,14.6,99.0
2016-12-08,1,13.914678899082567,60.0,89.22916666666669,99.0,99.0,96.19444444444444,99.0,15.256250000000005,14.4,99.0
2016-12-09,1,14.453211009174314,58.0,89.0,99.0,99.0,91.22222222222223,99.0,16.024305555555564,14.9,99.0
2016-12-10,1,16.050458715596328,74.0,89.85416666666669,99.0,99.0,89.22916666666669,99.0,14.965972222222225,15.3,99.0
2016-12-11,1,13.754128440366964,57.0,94.42361111111113,99.0,99.0,89.0,99.0,14.097222222222225,14.6,99.0
2016-12-12,1,13.868807339449544,62.0,89.34027777777777,99.0,99.0,89.85416666666669,99.0,13.80347222222222,14.2,99.0
2016-12-13,1,14.162385321100912,68.0,88.35416666666669,99.0,99.0,94.42361111111113,99.0,14.197222222222221,14.4,99.0
2016-12-14,1,13.874311926605507,95.0,92.02083333333331,99.0,99.0,89.34027777777777,99.0,15.381944444444445,13.6,99.0
2016-12-15,1,14.597247706422017,62.0,98.54166666666669,99.0,99.0,88.35416666666669,99.0,13.515277777777774,14.1,99.0
2016-12-16,1,12.536697247706414,53.0,90.27777777777777,99.0,99.0,92.02083333333331,99.0,13.561111111111117,13.8,99.0
2016-12-17,1,13.08165137614679,59.0,87.1875,99.0,99.0,98.54166666666669,99.0,13.94375,13.7,99.0
2016-12-18,1,13.5302752293578,67.0,90.30555555555556,99.0,99.0,90.27777777777777,99.0,13.674305555555561,14.3,99.0
2016-12-19,1,15.199082568807338,75.0,92.77777777777777,99.0,99.0,87.1875,99.0,14.142361111111107,14.1,99.0
2016-12-20,1,15.81192660550458,73.0,94.89583333333331,99.0,99.0,90.30555555555556,99.0,12.681944444444444,13.4,99.0
2016-12-21,1,15.188990825688071,98.0,95.88888888888887,99.0,99.0,92.77777777777777,99.0,12.636805555555556,13.0,99.0
2016-12-22,1,16.40183486238532,83.0,98.97916666666669,99.0,99.0,94.89583333333331,99.0,13.315277777777775,11.4,99.0
2016-12-23,1,14.982568807339456,99.0,96.92361111111113,99.0,99.0,95.88888888888887,99.0,14.64097222222222,13.3,99.0
2016-12-24,1,14.734862385321104,87.0,99.0,99.0,99.0,98.97916666666669,99.0,15.184027777777768,14.0,99.0
2016-12-25,1,14.27155963302752,63.0,97.38194444444444,99.0,99.0,96.92361111111113,99.0,14.74375,14.4,99.0
2016-12-26,1,15.126605504587154,72.0,92.5625,99.0,99.0,99.0,99.0,15.660416666666665,14.5,99.0
2016-12-27,1,15.889908256880734,87.0,93.77777777777777,99.0,99.0,97.38194444444444,99.0,15.388194444444444,14.8,99.0
2016-12-28,1,15.622935779816508,89.0,97.10416666666669,99.0,99.0,92.5625,99.0,14.38055555555556,14.8,99.0
2016-12-29,1,15.828440366972474,80.0,98.51388888888887,99.0,99.0,93.77777777777777,99.0,13.959722222222226,14.5,99.0
2016-12-30,1,16.865137614678904,91.0,95.6875,99.0,99.0,97.10416666666669,99.0,14.62013888888889,14.3,99.0
2016-12-31,1,16.48990825688073,87.0,98.26388888888887,99.0,99.0,98.51388888888887,99.0,15.20347222222222,14.3,99.0
2017-01-01,1,16.923853211009177,91.0,97.45833333333331,99.0,99.0,95.6875,99.0,15.000694444444445,14.7,99.0
2017-01-02,1,17.11467889908257,79.0,98.54861111111113,99.0,99.0,98.26388888888887,99.0,15.122222222222225,14.1,99.0
2017-01-03,1,17.446788990825688,82.0,97.875,99.0,99.0,97.45833333333331,99.0,15.872222222222225,14.4,99.0
2017-01-04,1,16.455045871559633,79.0,98.31944444444444,99.0,99.0,98.54861111111113,99.0,15.564583333333335,14.2,99.0
2017-01-05,1,16.62752293577982,76.0,97.625,99.0,99.0,97.875,99.0,15.96388888888889,14.1,99.0
2017-01-06,1,15.71467889908257,57.0,96.40277777777777,99.0,99.0,98.31944444444444,99.0,16.10833333333333,14.3,99.0
2017-01-07,1,14.964220183486235,89.0,92.21527777777777,99.0,99.0,97.625,99.0,16.4,14.7,99.0
2017-01-08,1,17.20917431192661,87.0,96.5,99.0,99.0,96.40277777777777,99.0,15.650000000000002,14.9,99.0
2017-01-09,0,13.297247706422025,99.0,97.52083333333331,99.0,99.0,92.21527777777777,99.0,15.715277777777775,14.9,99.0
2017-01-10,0,15.806422018348627,81.0,99.0,99.0,99.0,96.5,99.0,14.895833333333336,14.2,99.0
2017-01-19,0,18.827522935779818,47.0,87.77083333333331,99.0,99.0,91.16666666666669,99.0,14.546527777777774,15.6,99.0
2017-01-20,0,17.455045871559633,73.0,88.46527777777777,99.0,99.0,89.82638888888891,99.0,16.234027777777776,15.3,99.0
2017-01-21,0,16.55596330275229,69.0,96.42361111111113,99.0,99.0,87.77083333333331,99.0,16.527083333333326,15.6,99.0
2017-01-22,0,18.71834862385321,46.0,96.59722222222223,99.0,99.0,88.46527777777777,99.0,17.231944444444448,15.5,99.0
2017-01-23,0,17.322018348623853,52.0,88.85416666666669,99.0,99.0,96.42361111111113,99.0,17.75138888888889,15.9,99.0
2017-01-24,0,17.542201834862382,59.0,93.1875,99.0,99.0,96.59722222222223,99.0,16.708333333333332,16.4,99.0
2017-01-25,0,18.21467889908257,47.0,92.79861111111113,99.0,99.0,88.85416666666669,99.0,16.038194444444443,16.1,99.0
2017-01-26,0,18.944954128440372,40.0,88.54861111111109,99.0,99.0,93.1875,99.0,17.674305555555566,15.9,99.0
2017-01-27,0,18.874311926605515,45.0,88.22222222222223,99.0,99.0,92.79861111111113,99.0,16.612500000000004,16.1,99.0
2017-01-28,0,18.453211009174304,54.0,89.41666666666669,99.0,99.0,88.54861111111109,99.0,16.74097222222221,16.0,99.0
2017-01-29,0,19.78165137614679,42.0,93.9375,99.0,99.0,88.22222222222223,99.0,17.26597222222223,15.8,99.0
2017-01-30,0,18.713761467889913,61.0,88.8125,99.0,99.0,89.41666666666669,99.0,17.818055555555556,15.8,99.0
2017-01-31,0,16.52385321100918,70.0,93.65277777777777,99.0,99.0,93.9375,99.0,17.756250000000012,16.0,99.0
2017-02-01,0,19.177981651376147,47.0,97.13194444444444,99.0,99.0,88.8125,99.0,17.50347222222222,16.1,99.0
2017-02-02,0,18.036697247706414,52.0,90.70833333333331,99.0,99.0,93.65277777777777,99.0,18.481250000000006,16.3,99.0
2017-02-03,0,18.714678899082575,43.0,91.54861111111113,99.0,99.0,97.13194444444444,99.0,17.694444444444454,16.4,99.0
2017-02-04,0,19.133027522935773,33.0,88.72222222222223,99.0,99.0,90.70833333333331,99.0,15.992361111111116,16.6,99.0
2017-02-05,0,19.7788990825688,36.0,88.45833333333331,99.0,99.0,91.54861111111113,99.0,17.991666666666656,16.1,99.0
2017-02-06,0,14.204587155963294,99.0,87.3125,99.0,99.0,88.72222222222223,99.0,17.10138888888888,16.2,99.0
2017-02-07,0,17.999999999999993,50.0,99.0,99.0,99.0,88.45833333333331,99.0,17.61180555555556,16.2,99.0
2017-02-08,0,18.549541284403674,43.0,92.56944444444444,99.0,99.0,87.3125,99.0,17.920833333333327,16.3,99.0
2017-02-09,0,19.05688073394496,45.0,90.53472222222223,99.0,99.0,99.0,99.0,18.49097222222222,16.3,99.0
2017-02-10,0,15.638532110091743,98.0,90.09027777777777,99.0,99.0,92.56944444444444,99.0,14.202777777777774,16.6,99.0
2017-02-11,0,18.484403669724763,40.0,98.96527777777777,99.0,99.0,90.53472222222223,99.0,17.076388888888882,16.4,99.0
2017-02-12,0,17.811926605504595,43.0,87.42361111111109,99.0,99.0,90.09027777777777,99.0,17.461111111111116,16.2,99.0
2017-02-13,0,19.168807339449536,46.0,90.85416666666669,99.0,99.0,98.96527777777777,99.0,17.848611111111122,16.6,99.0
2017-02-14,0,19.68715596330276,37.0,86.27083333333331,99.0,99.0,87.42361111111109,99.0,15.278472222222225,16.5,99.0
2017-02-15,0,19.778899082568817,34.0,85.15972222222223,99.0,99.0,90.85416666666669,99.0,17.434027777777786,16.0,99.0
2017-02-16,1,20.102752293577982,33.0,85.45833333333333,99.0,99.0,86.27083333333331,99.0,16.92777777777778,14.6,99.0
2017-02-17,1,20.54403669724771,37.0,83.0486111111111,99.0,99.0,85.15972222222223,99.0,17.954166666666673,16.2,99.0
2017-02-18,1,15.373394495412846,92.0,85.7986111111111,99.0,99.0,85.45833333333333,99.0,18.337500000000006,16.5,99.0
2017-02-19,1,19.92844036697248,41.0,98.28472222222223,99.0,99.0,83.0486111111111,99.0,18.425000000000008,16.7,99.0
2017-02-20,1,20.289908256880725,34.0,87.83333333333331,99.0,99.0,85.7986111111111,99.0,18.70972222222222,16.9,99.0
2017-02-21,1,17.902752293577983,79.0,83.93055555555556,99.0,99.0,98.28472222222223,99.0,19.048611111111114,17.0,99.0
2017-02-22,1,19.66238532110092,36.0,96.22916666666669,99.0,99.0,87.83333333333331,99.0,14.975,16.9,99.0
2017-02-23,1,19.4651376146789,45.0,84.2361111111111,99.0,99.0,83.93055555555556,99.0,18.620138888888885,16.5,99.0
2017-02-24,1,17.140366972477064,96.0,90.02777777777777,99.0,99.0,96.22916666666669,99.0,18.871527777777786,17.0,99.0
2017-02-25,1,20.463302752293565,35.0,98.77083333333331,99.0,99.0,84.2361111111111,99.0,17.034027777777773,17.3,99.0
2017-02-26,1,20.97706422018348,41.0,83.75,99.0,99.0,90.02777777777777,99.0,18.34444444444445,16.8,99.0
2017-02-27,1,20.48256880733946,38.0,84.97916666666667,99.0,99.0,98.77083333333331,99.0,18.40972222222221,16.9,99.0
2017-02-28,1,21.405504587155963,38.0,85.0625,99.0,99.0,83.75,99.0,16.48472222222222,17.5,99.0
2017-03-01,1,20.61743119266055,44.0,82.875,99.0,99.0,84.97916666666667,99.0,18.980555555555547,16.8,99.0
2017-03-02,1,19.789908256880747,61.0,83.69444444444444,99.0,99.0,85.0625,99.0,19.447222222222205,16.1,99.0
2017-03-03,1,15.718348623853213,89.0,89.09027777777777,98.0,99.0,82.875,99.0,19.102083333333344,17.3,99.0
2017-03-04,1,20.95229357798165,30.0,97.5625,99.0,98.0,83.69444444444444,99.0,19.928472222222226,17.5,99.0
2017-03-05,1,21.161467889908256,35.0,80.375,99.0,99.0,89.09027777777777,98.0,19.19097222222221,17.7,99.0
2017-03-06,1,20.45412844036697,47.0,82.5763888888889,99.0,99.0,97.5625,99.0,18.595138888888897,17.6,98.0
2017-03-07,1,15.956880733944958,92.0,87.95138888888891,99.0,99.0,80.375,99.0,15.34583333333334,17.3,99.0
2017-03-08,1,19.321100917431192,40.0,98.07638888888887,99.0,99.0,82.5763888888889,99.0,19.39305555555556,16.8,99.0
2017-03-09,1,19.28165137614679,30.0,85.3263888888889,99.0,99.0,87.95138888888891,99.0,19.634722222222226,17.3,99.0
2017-03-10,1,21.10825688073395,41.0,84.29166666666667,99.0,99.0,98.07638888888887,99.0,19.338888888888878,17.8,99.0
2017-05-17,0,21.09541284403669,32.0,74.94444444444444,100.0,100.0,88.15972222222223,100.0,22.488888888888887,17.4,100.0
