date,disease,H_mean_x,H_min_x,T20_max_x,T60_max_x,housa_x,H_mean_y,H_min_y,T20_max_y,T60_max_y,H_max_y,housa_y,H_mean_z,T20_min_z,T60_min_z,H_min_z,T20_max_z,T60_max_z,H_max_z,housa_z,days
2018-06-26,0,73.56597222,41.1,38.2,39.3,5.7437384311417565,82.00972222,45.5,34.7,36.4,100.0,3.3868866724618085,92.81666667,18.4,18.8,73.7,25.9,25.7,100.0,1.103579087981253,78.0
2018-06-27,0,83.85902778,53.8,36.4,39.0,3.4367352362733503,73.56597222,41.1,38.2,39.3,96.4,5.7437384311417565,82.00972222,18.4,18.6,45.5,34.7,36.4,100.0,3.3868866724618085,79.0
2018-06-28,0,85.44027778,52.5,35.4,39.2,3.137168691711145,83.85902778,53.8,36.4,39.0,97.4,3.4367352362733503,73.56597222,19.6,19.7,41.1,38.2,39.3,96.4,5.7437384311417565,80.0
2018-06-29,0,85.76666667,58.7,38.9,38.9,3.1552937061006117,85.44027778,52.5,35.4,39.2,97.5,3.137168691711145,83.85902778,22.0,22.1,53.8,36.4,39.0,97.4,3.4367352362733503,81.0
2018-06-30,0,88.27569444,70.0,34.8,34.5,2.5663760693572555,85.76666667,58.7,38.9,38.9,100.0,3.1552937061006117,85.44027778,23.5,23.6,52.5,35.4,39.2,97.5,3.137168691711145,82.0
2018-07-01,0,89.30694444,61.1,36.8,38.4,2.38474652988323,88.27569444,70.0,34.8,34.5,99.9,2.5663760693572555,85.76666667,24.0,24.0,58.7,38.9,38.9,100.0,3.1552937061006117,83.0
2018-07-02,0,85.34583333,62.8,36.9,37.6,3.419595016726108,89.30694444,61.1,36.8,38.4,100.0,2.38474652988323,88.27569444,24.6,24.7,70.0,34.8,34.5,99.9,2.5663760693572555,84.0
2018-07-03,0,86.34722222,66.2,37.2,36.3,3.0805133522073325,85.34583333,62.8,36.9,37.6,100.0,3.419595016726108,89.30694444,25.1,25.2,61.1,36.8,38.4,100.0,2.38474652988323,85.0
2018-07-04,0,85.68472222,65.0,37.0,35.7,3.214156508119224,86.34722222,66.2,37.2,36.3,98.3,3.0805133522073325,85.34583333,24.6,25.0,62.8,36.9,37.6,100.0,3.419595016726108,86.0
2018-07-05,0,92.24166667,82.6,31.2,29.9,1.5861827093474918,85.68472222,65.0,37.0,35.7,99.9,3.214156508119224,86.34722222,24.1,24.3,66.2,37.2,36.3,98.3,3.0805133522073325,87.0
