"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"°C"	"°C"	""	""	""	""	""	""
"09/17/2016 14:00'00"	"42630.5833333333"	"  29.4000"	"  26.2000"	""	""	""	""	""	""	
"09/17/2016 14:10'00"	"42630.5902777778"	"  29.3000"	"  26.2000"	""	""	""	""	""	""	
"09/17/2016 14:20'00"	"42630.5972222222"	"  28.6000"	"  26.2000"	""	""	""	""	""	""	
"09/17/2016 14:30'00"	"42630.6041666667"	"  28.7000"	"  26.2000"	""	""	""	""	""	""	
"09/17/2016 14:40'00"	"42630.6111111111"	"  28.6000"	"  26.2000"	""	""	""	""	""	""	
"09/17/2016 14:50'00"	"42630.6180555556"	"  29.2000"	"  26.3000"	""	""	""	""	""	""	
"09/17/2016 15:00'00"	"42630.6250000000"	"  27.7000"	"  26.2000"	""	""	""	""	""	""	
"09/17/2016 15:10'00"	"42630.6319444444"	"  27.4000"	"  26.2000"	""	""	""	""	""	""	
"09/17/2016 15:20'00"	"42630.6388888889"	"  27.8000"	"  26.2000"	""	""	""	""	""	""	
"09/17/2016 15:30'00"	"42630.6458333333"	"  28.3000"	"  26.3000"	""	""	""	""	""	""	
"09/17/2016 15:40'00"	"42630.6527777778"	"  28.3000"	"  26.3000"	""	""	""	""	""	""	
"09/17/2016 15:50'00"	"42630.6597222222"	"  28.8000"	"  26.2000"	""	""	""	""	""	""	
"09/17/2016 16:00'00"	"42630.6666666667"	"  29.7000"	"  26.2000"	""	""	""	""	""	""	
"09/17/2016 16:10'00"	"42630.6736111111"	"  28.1000"	"  26.3000"	""	""	""	""	""	""	
"09/17/2016 16:20'00"	"42630.6805555556"	"  27.3000"	"  26.2000"	""	""	""	""	""	""	
"09/17/2016 16:30'00"	"42630.6875000000"	"  27.0000"	"  26.2000"	""	""	""	""	""	""	
"09/17/2016 16:40'00"	"42630.6944444444"	"  27.0000"	"  26.3000"	""	""	""	""	""	""	
"09/17/2016 16:50'00"	"42630.7013888889"	"  26.8000"	"  26.3000"	""	""	""	""	""	""	
"09/17/2016 17:00'00"	"42630.7083333333"	"  26.8000"	"  26.3000"	""	""	""	""	""	""	
"09/17/2016 17:10'00"	"42630.7152777778"	"  26.7000"	"  26.2000"	""	""	""	""	""	""	
"09/17/2016 17:20'00"	"42630.7222222222"	"  26.6000"	"  26.2000"	""	""	""	""	""	""	
"09/17/2016 17:30'00"	"42630.7291666667"	"  26.1000"	"  26.2000"	""	""	""	""	""	""	
"09/17/2016 17:40'00"	"42630.7361111111"	"  25.7000"	"  26.2000"	""	""	""	""	""	""	
"09/17/2016 17:50'00"	"42630.7430555556"	"  25.4000"	"  26.2000"	""	""	""	""	""	""	
"09/17/2016 18:00'00"	"42630.7500000000"	"  25.3000"	"  26.2000"	""	""	""	""	""	""	
"09/17/2016 18:10'00"	"42630.7569444444"	"  24.8000"	"  26.1000"	""	""	""	""	""	""	
"09/17/2016 18:20'00"	"42630.7638888889"	"  24.5000"	"  26.1000"	""	""	""	""	""	""	
