Date/Time,T20,ST
2017/5/30 16:30,25.9,24.5
2017/5/30 16:40,25.6,24.3
2017/5/30 16:50,25.6,24.2
2017/5/30 17:00,25.2,24.1
2017/5/30 17:10,25.2,24
2017/5/30 17:20,25.4,23.9
2017/5/30 17:30,25.6,23.9
2017/5/30 17:40,25.8,24
2017/5/30 17:50,25.6,24
2017/5/30 18:00,25.5,24
2017/5/30 18:10,25.7,24
2017/5/30 18:20,25,24
2017/5/30 18:30,24.4,24
2017/5/30 18:40,24.4,24
2017/5/30 18:50,23.8,23.9
2017/5/30 19:00,23.4,23.9
2017/5/30 19:10,23.6,23.8
2017/5/30 19:20,23.4,23.8
2017/5/30 19:30,23.1,23.7
2017/5/30 19:40,22.9,23.7
2017/5/30 19:50,22.7,23.6
2017/5/30 20:00,22.6,23.5
2017/5/30 20:10,22.3,23.5
2017/5/30 20:20,22.1,23.4
2017/5/30 20:30,22,23.4
2017/5/30 20:40,22,23.4
2017/5/30 20:50,21.9,23.3
2017/5/30 21:00,21.8,23.3
2017/5/30 21:10,21.6,23.2
2017/5/30 21:20,21.5,23.2
2017/5/30 21:30,21.5,23.2
2017/5/30 21:40,21.5,23.1
2017/5/30 21:50,21.5,23.1
2017/5/30 22:00,21.5,23.1
2017/5/30 22:10,21.2,23
2017/5/30 22:20,21.2,23
2017/5/30 22:30,20.9,22.9
2017/5/30 22:40,20.8,22.9
2017/5/30 22:50,20.9,22.9
2017/5/30 23:00,20.9,22.8
2017/5/30 23:10,20.7,22.8
2017/5/30 23:20,20.5,22.8
2017/5/30 23:30,20.6,22.7
2017/5/30 23:40,20.6,22.7
2017/5/30 23:50,20.6,22.6
2017/5/31 0:00,20.7,22.6
2017/5/31 0:10,20.9,22.6
2017/5/31 0:20,21,22.6
2017/5/31 0:30,21.1,22.6
2017/5/31 0:40,21.4,22.6
2017/5/31 0:50,21.3,22.6
2017/5/31 1:00,21.3,22.6
2017/5/31 1:10,21.3,22.6
2017/5/31 1:20,21.3,22.6
2017/5/31 1:30,21.5,22.6
2017/5/31 1:40,21.6,22.6
2017/5/31 1:50,21.8,22.6
2017/5/31 2:00,21.8,22.6
2017/5/31 2:10,21.7,22.6
2017/5/31 2:20,21.7,22.6
2017/5/31 2:30,21.7,22.6
2017/5/31 2:40,21.7,22.6
2017/5/31 2:50,21.7,22.6
2017/5/31 3:00,21.7,22.6
2017/5/31 3:10,21.7,22.6
2017/5/31 3:20,21.7,22.5
2017/5/31 3:30,21.7,22.6
2017/5/31 3:40,21.7,22.5
2017/5/31 3:50,21.6,22.5
2017/5/31 4:00,21.6,22.5
2017/5/31 4:10,21.7,22.5
2017/5/31 4:20,21.4,22.5
2017/5/31 4:30,21.2,22.5
2017/5/31 4:40,20.9,22.4
2017/5/31 4:50,20.9,22.4
2017/5/31 5:00,20.8,22.4
2017/5/31 5:10,20.8,22.3
2017/5/31 5:20,21.1,22.3
2017/5/31 5:30,21.5,22.4
2017/5/31 5:40,21.9,22.4
2017/5/31 5:50,22.4,22.4
2017/5/31 6:00,23,22.5
2017/5/31 6:10,23.6,22.6
2017/5/31 6:20,24.1,22.6
2017/5/31 6:30,24.2,22.8
2017/5/31 6:40,24.8,22.9
2017/5/31 6:50,24.8,23
2017/5/31 7:00,25.6,23.1
2017/5/31 7:10,26.4,23.2
2017/5/31 7:20,27.1,23.4
2017/5/31 7:30,27.3,23.5
2017/5/31 7:40,27.2,23.7
2017/5/31 7:50,26,23.7
2017/5/31 8:00,26.6,23.8
2017/5/31 8:10,27.1,23.9
2017/5/31 8:20,26.7,24
2017/5/31 8:30,27.1,24.1
2017/5/31 8:40,27,24.2
2017/5/31 8:50,27.9,24.3
2017/5/31 9:00,26.7,24.4
2017/5/31 9:10,26,24.4
2017/5/31 9:20,27.3,24.4
2017/5/31 9:30,27,24.5
2017/5/31 9:40,27.7,24.5
2017/5/31 9:50,28,24.6
2017/5/31 10:00,28.1,24.8
2017/5/31 10:10,28.5,24.9
2017/5/31 10:20,28.9,25.1
2017/5/31 10:30,27.5,25.2
2017/5/31 10:40,27,25.1
2017/5/31 10:50,27.1,25.1
2017/5/31 11:00,28.3,25.1
2017/5/31 11:10,28.5,25.2
2017/5/31 11:20,29.8,25.4
2017/5/31 11:30,29,25.5
2017/5/31 11:40,28.8,25.6
2017/5/31 11:50,29.2,25.6
2017/5/31 12:00,29,25.8
2017/5/31 12:10,29.5,25.9
2017/5/31 12:20,31.9,26.1
2017/5/31 12:30,30.2,26.3
2017/5/31 12:40,27.5,26.3
2017/5/31 12:50,26.6,26.1
2017/5/31 13:00,26.4,25.9
2017/5/31 13:10,25.4,25.8
2017/5/31 13:20,25.8,25.6
2017/5/31 13:30,25.3,25.5
2017/5/31 13:40,27.5,25.4
2017/5/31 13:50,31,25.6
2017/5/31 14:00,30.1,25.9
2017/5/31 14:10,29.9,26
2017/5/31 14:20,27.7,26
2017/5/31 14:30,29,25.9
2017/5/31 14:40,28.6,25.9
2017/5/31 14:50,27.9,25.8
2017/5/31 15:00,28.6,25.8
2017/5/31 15:10,28.5,25.9
2017/5/31 15:20,27.9,25.8
2017/5/31 15:30,29.5,25.9
2017/5/31 15:40,29.1,25.9
2017/5/31 15:50,27.5,25.9
2017/5/31 16:00,26.8,25.7
2017/5/31 16:10,26.3,25.6
2017/5/31 16:20,26,25.5
2017/5/31 16:30,25.7,25.4
2017/5/31 16:40,25.5,25.4
2017/5/31 16:50,24.8,25.2
2017/5/31 17:00,25.1,25.1
2017/5/31 17:10,24.8,25
2017/5/31 17:20,24.2,24
2017/5/31 17:30,23.8,24.1
2017/5/31 17:40,23.9,24.1
2017/5/31 17:50,23.9,24.2
2017/5/31 18:00,23.7,24.2
2017/5/31 18:10,23.6,24.1
2017/5/31 18:20,23.4,24.1
2017/5/31 18:30,23.2,24.1
2017/5/31 18:40,22.9,24
2017/5/31 18:50,22.7,24
2017/5/31 19:00,22.5,23.9
2017/5/31 19:10,22.4,23.8
2017/5/31 19:20,22.3,23.8
2017/5/31 19:30,22.3,23.8
2017/5/31 19:40,22.2,23.7
2017/5/31 19:50,22.1,23.7
